Year,Event,Division,Gender,School,Name,Position,Timing(s)
2009,200 Metres ,A,Girls,HCJC,Samantha Joanne Raeburn,6,28.31
2009,200 Metres ,A,Girls,RJC,Emily Pauline Nickles,7,28.48
2009,200 Metres ,A,Girls,NJC,Chua Si Qi Jacqueline,8,28.72
2010,100 Metres ,A,Girls,AJC,Chang Ping Dorcas,1,13.08
2010,100 Metres ,A,Girls,HCJC,Sarah Lee Mei En,2,13.16
2010,100 Metres ,A,Girls,HCJC,Tan Ching Yi,3,13.19
2010,100 Metres ,A,Girls,TJC,Fok Yan Ting Melissa,4,13.25
2010,100 Metres ,A,Girls,VJC,Grace Ng,5,13.37
2010,100 Metres ,A,Girls,ACJC,Dewi Tiara Ongkowidjaja,6,13.52
2010,100 Metres ,A,Girls,CJC,Moneteiro Amelia Yuting,7,13.59
2010,100 Metres ,A,Girls,HCJC,Bella Koh Suan Lin,8,13.72
2010,200 Metres ,A,Girls,RJC,Fiona Ng Yee Lin,1,26.63
2010,200 Metres ,A,Girls,HCJC,Tan Ching Yi,2,27.04
2010,200 Metres ,A,Girls,AJC,Chang Ping Dorcas,3,27.18
2010,200 Metres ,A,Girls,TJC,Fok Yan Ting Melissa,4,27.72
2010,200 Metres ,A,Girls,CJC,Moneteiro Amelia Yuting,5,28.01
2010,200 Metres ,A,Girls,VJC,Grace Ng,6,28.03
2010,200 Metres ,A,Girls,NJC,Chua Si Qi Jacqueline,7,28.62
2010,200 Metres ,A,Girls,NJC,Tay Ying Ying,8,29.23
2011,100 Metres ,A,Girls,SSP,Liang Wei,1,12.74
2011,100 Metres ,A,Girls,HCJC,Sarah Lee Mei En,2,12.97
2011,100 Metres ,A,Girls,HCJC,Tan Ching Yi,3,13.05
2011,100 Metres ,A,Girls,NJC,Maria Grazia Lee Shu En,4,13.35
2011,100 Metres ,A,Girls,RJC,Ko Shi Min Sharon,5,13.38
2011,100 Metres ,A,Girls,HCJC,Yeo Ke Qing Sabrina,6,13.42
2011,100 Metres ,A,Girls,ACJC,Tan Yi Wen Amanda,7,13.5
2011,100 Metres ,A,Girls,IJC,Mahirah Bte Mustaffa,8,13.58
2011,200 Metres ,A,Girls,HCJC,Tan Ching Yi,1,26.07
2011,200 Metres ,A,Girls,SSP,Liang Wei,2,26.26
2011,200 Metres ,A,Girls,RJC,Ko Shi Min Sharon,3,27.29
2011,200 Metres ,A,Girls,HCJC,Yeo Ke Qing Sabrina,4,27.67
2011,200 Metres ,A,Girls,RJC,Wong Ying Yi Kristie,5,27.97
2011,200 Metres ,A,Girls,ACJC,Ng Wan Leng,6,28.03
2011,200 Metres ,A,Girls,ACJC,Tan Yi Wen Amanda,7,28.43
2011,200 Metres ,A,Girls,NJC,Maria Grazia Lee Shu En,8,31.86
2012,100 Metres ,A,Girls,HCJC,Goh Hui Yu Lynette,1,12.72
2012,100 Metres ,A,Girls,RJC,Koh Hui Fang Rachel,2,12.97
2012,100 Metres ,A,Girls,NJC,Maria Grazia Lee Shu En,3,13.21
2012,100 Metres ,A,Girls,ACJC,Ching Hui Xian Jessica,4,13.28
2012,100 Metres ,A,Girls,RJC,Ko Shi Min Sharon,5,13.42
2012,100 Metres ,A,Girls,RJC,Joy Chia Jing Xian,6,13.48
2012,100 Metres ,A,Girls,HCJC,Shermaine Yeo Xuewei,7,13.66
2012,100 Metres ,A,Girls,HCJC,Yeo Ke Qing Sabrina,8,15.07
2012,200 Metres ,A,Girls,SRJC,Ruelia Nesaranjini D/O R R,1,25.79
2012,200 Metres ,A,Girls,HCJC,Goh Hui Yu Lynette,2,25.84
2012,200 Metres ,A,Girls,RJC,Koh Hui Fang Rachel,3,26.68
2012,200 Metres ,A,Girls,RJC,Joy Chia Jing Xian,4,27.6
2012,200 Metres ,A,Girls,ACJC,Ching Hui Xian Jessica,5,27.63
2012,200 Metres ,A,Girls,NJC,Maria Grazia Lee Shu En,6,27.8
2012,200 Metres ,A,Girls,ACSI,Jean Chiew Ling,7,28.15
2012,200 Metres ,A,Girls,HCJC,Shermaine Yeo Xuewei,8,28.34
2013,100 Metres ,A,Girls,HCJC,Goh Hui Yu Lynette,1,12.51
2013,100 Metres ,A,Girls,RJC,Wong Min Jannah,2,12.65
2013,100 Metres ,A,Girls,RJC,Koh Hui Fang Rachel,3,13.02
2013,100 Metres ,A,Girls,CJC,Wong Chu Wen Denise,4,13.55
2013,100 Metres ,A,Girls,RJC,Joy Chia Jing Xian,5,13.46
2013,100 Metres ,A,Girls,VJC,Diana Basil Heng Li Jiao,6,13.48
2013,100 Metres ,A,Girls,HCJC,Tey Yu Xuan Sheryl,7,13.58
2013,100 Metres ,A,Girls,ACSI,Yeow Ing Yee,8,13.9
2013,200 Metres ,A,Girls,HCJC,Goh Hui Yu Lynette,1,26.13
2013,200 Metres ,A,Girls,SRJC,Ruelia Nesaranjini D/O R R,2,26.63
2013,200 Metres ,A,Girls,RJC,Koh Hui Fang Rachel,3,26.72
2013,200 Metres ,A,Girls,CJC,Wong Chu Wen Denise,4,27.56
2013,200 Metres ,A,Girls,RJC,Joy Chia Jing Xian,5,27.72
2013,200 Metres ,A,Girls,ACJC,Janice Soh Wei Xin,6,28.33
2013,200 Metres ,A,Girls,HCJC,Shermaine Yeo Xuewei,7,28.56
2013,200 Metres ,A,Girls,RJC,Liang Cui Han Jermaine,8,28.82
2014,100 Metres ,A,Girls,RJC,Wong Min Jannah,1,12.7
2014,100 Metres ,A,Girls,CJC,Song Ern Kimberly Ann,2,13.57
2014,100 Metres ,A,Girls,VJC,Janine Lim Jiajia,3,13.62
2014,100 Metres ,A,Girls,VJC,Kristin Pang Li Yun,4,13.78
2014,100 Metres ,A,Girls,HCJC,Jeannette Lim Hui Hong,5,13.84
2014,100 Metres ,A,Girls,HCJC,Hilda Tang Jia Ying,6,13.87
2014,100 Metres ,A,Girls,VJC,Nur Syafiqah Bte Mohamad Sham,7,13.96
2014,100 Metres ,A,Girls,ACSI,Chia Pei Yin Lavender,8,14.08
2014,200 Metres ,A,Girls,HCJC,Thia Yi Yi,1,26.18
2014,200 Metres ,A,Girls,VJC,Janine Lim Jiajia,2,27.17
2014,200 Metres ,A,Girls,RJC,Ong Chu Yi Elizabeth Jane,3,27.67
2014,200 Metres ,A,Girls,NJC,Ong Jia Ling,4,27.74
2014,200 Metres ,A,Girls,CJC,Song Ern Kimberly Ann,5,27.92
2014,200 Metres ,A,Girls,VJC,Kristin Pang Li Yun,6,27.94
2014,200 Metres ,A,Girls,HCJC,Hilda Tang Jia Ying,7,28.21
2014,200 Metres ,A,Girls,VJC,Zheng Yanlei ,8,28.37
2015,100 Metres ,A,Girls,CJC,Au Yee Sin,1,12.96
2015,100 Metres ,A,Girls,HCJC,Naomi Louise Tan,2,12.97
2015,100 Metres ,A,Girls,ACJC,Lim Hui Qi Jerrine,3,13.2
2015,100 Metres ,A,Girls,RJC,Laura Tan Ling Ying,4,13.22
2015,100 Metres ,A,Girls,NJC,Chu Sin Ping Natalie,5,13.37
2015,100 Metres ,A,Girls,SAJC,Chloe Tan Hui Yin,6,13.42
2015,100 Metres ,A,Girls,HCJC,Jeannette Lim Hui Hong,7,13.53
2015,100 Metres ,A,Girls,ACSI,Tan Si Wen,8,13.54
2015,200 Metres ,A,Girls,VJC,Janine Lim Jiajia,1,26.91
2015,200 Metres ,A,Girls,ACSI,Tan Si Wen,2,27.84
2015,200 Metres ,A,Girls,HCJC,Claudia Sng Jia Xin,3,27.99
2015,200 Metres ,A,Girls,HCJC,Jeannette Lim Hui Hong,4,28.09
2015,200 Metres ,A,Girls,CCH,Zhang Jingxuan,5,28.16
2015,200 Metres ,A,Girls,NJC,Chu Sin Ping Natalie,6,28.23
2015,200 Metres ,A,Girls,HCJC,Hilda Tang Jia Ying,7,28.42
2015,200 Metres ,A,Girls,VJC,Kristin Pang Li Yun,8,29
2016,100 Metres ,A,Girls,RJC,Amirah Aljunied,1,12.87
2016,100 Metres ,A,Girls,VJC,Yeo Hui Wen Hannah,2,13.2
2016,100 Metres ,A,Girls,NJC,Teo Sze-Anne,3,13.22
2016,100 Metres ,A,Girls,ACJC,Lim Hui Qi Jerrine,4,13.36
2016,100 Metres ,A,Girls,ACSI,Delia Low Ting,5,13.41
2016,100 Metres ,A,Girls,NJC,Chu Sin Ping Natalie,6,13.45
2016,100 Metres ,A,Girls,RJC,Hu Juan-Ning Nicole,7,13.5
2016,100 Metres ,A,Girls,ACJC,Alicia Lau,8,13.74
2016,200 Metres ,A,Girls,RJC,Amirah Aljunied,1,26.29
2016,200 Metres ,A,Girls,VJC,Yeo Hui Wen Hannah,2,27.85
2016,200 Metres ,A,Girls,RJC,Hu Juan-Ning Nicole,3,27.94
2016,200 Metres ,A,Girls,HCJC,Zhang Jingxuan,4,28.08
2016,200 Metres ,A,Girls,HCJC,Audrey Sarah Tan,5,28.33
2016,200 Metres ,A,Girls,ACSI,Delia Low Ting,6,28.51
2016,200 Metres ,A,Girls,NJC,Chu Sin Ping Natalie,7,28.61
2016,200 Metres ,A,Girls,DHS,Chai Yinn,8,29.02
