Industry,Role,Minimum,Median,Maximum
Financial Services and Fintech,"Assistant Vice President
Private Banking Relationship Management",96,111,125
Financial Services and Fintech,"Vice President Private Banking Relationship
Management",130,155,210
Financial Services and Fintech,"Director
Private Banking Relationship Management",200,255,325
Financial Services and Fintech,Mergers & Acquisitions (M&A) Analyst,60,92,120
Financial Services and Fintech,Vice President Mergers & Acquisitions (M&A),200,250,300
Financial Services and Fintech,Partnership Sales and Relationship Manager,48,88,120
Financial Services and Fintech,Partnerships Manager,80,85,90
Financial Services and Fintech,Head of Partnerships,144,164,180
Financial Services and Fintech,Investment Banking Analyst,48,60,70
Financial Services and Fintech,Investment Banking Associate,80,105,148
Financial Services and Fintech,Assistant Vice President Investment Banking,108,139,180
Financial Services and Fintech,Vice President Investment Banking,160,225,250
Financial Services and Fintech,Investment Banking Director,225,290,375
Financial Services and Fintech,Head of Investment Banking,300,373,450
Financial Services and Fintech,"Assistant Vice President
Equity / Fixed Income (FI) Research",100,147,180
Financial Services and Fintech,Associate Director Equity / Fixed Income (FI) Research,200,227,300
Financial Services and Fintech,Director Equity / Fixed Income (FI) Research,250,285,350
Financial Services and Fintech,Market Research Analayst,60,75,84
Financial Services and Fintech,Investment Product Specialist,120,150,180
Financial Services and Fintech,Sales Consultant,42,52,60
Financial Services and Fintech,Senior Sales Executive,60,75,84
Financial Services and Fintech,Product Sales Manager,60,86,120
Financial Services and Fintech,Sales Manager,80,100,120
Financial Services and Fintech,Sales Director,150,167,180
Financial Services and Fintech,Head of Sales,275,347,420
Financial Services and Fintech,Broker,48,58,60
Financial Services and Fintech,Institutional Dealer,55,66,84
Financial Services and Fintech,Trader,45,117,215
Financial Services and Fintech,Business Planning Analyst,60,75,84
Financial Services and Fintech,Business Analyst,72,84,120
Financial Services and Fintech,Senior Business Analyst,120,167,250
Financial Services and Fintech,Business Intelligence (BI) Analyst,54,59,72
Financial Services and Fintech,Business Intelligence (BI) Analytics Manager,80,90,96
Financial Services and Fintech,Senior Business Intelligence (BI) Developer,180,205,230
Financial Services and Fintech,Trade Operations Analyst,36,48,60
Financial Services and Fintech,Trade Support Analyst,36,41,42
Financial Services and Fintech,Settlements Analyst,42,54,60
Financial Services and Fintech,Settlements Forecasting Team Lead,54,64,66
Financial Services and Fintech,Derivatives Settlements Analyst,42,52,58
Financial Services and Fintech,Liquidity Management Analyst,48,55,60
Financial Services and Fintech,Venture Capital Analyst,75,87,100
Financial Services and Fintech,Compliance Officer,48,66,78
Financial Services and Fintech,Compliance Analyst,70,75,85
Financial Services and Fintech,Assistant Compliance Manager,60,72,102
Financial Services and Fintech,Compliance Manager,70,110,150
Financial Services and Fintech,Assistant Vice President Compliance,78,95,108
Financial Services and Fintech,Vice President Compliance,96,111,204
Financial Services and Fintech,Compliance Director,200,275,340
Financial Services and Fintech,Head of Compliance,250,300,350
Financial Services and Fintech,Managing Director Compliance,300,350,400
Financial Services and Fintech,Corporate Secretary,48,55,72
Financial Services and Fintech,Change Management Associate,60,70,82
Financial Services and Fintech,"Assistant Vice President
Change Management",80,110,130
Financial Services and Fintech,Corporate Access Analyst,48,63,78
Financial Services and Fintech,Assistant Manager Corporate Development,60,65,70
Financial Services and Fintech,Corporate Strategy Executive,60,72,84
Financial Services and Fintech,Associate Director Corporate Strategy,190,200,210
Financial Services and Fintech,Vice President Strategy and Operations,200,240,280
Financial Services and Fintech,Credit Analyst,33,43,49
Financial Services and Fintech,Senior Credit Analyst,45,55,64
Financial Services and Fintech,Credit Risk Analyst,50,70,96
Financial Services and Fintech,Credit Risk Analytics Manager,72,88,120
Financial Services and Fintech,Assistant Vice President Credit Risk,65,80,100
Financial Services and Fintech,Vice President Credit Risk,100,117,150
Financial Services and Fintech,Director Credit Risk,120,145,156
Financial Services and Fintech,Head of Specialised Credit,180,220,265
Financial Services and Fintech,Credit Control Executive,36,43,48
Financial Services and Fintech,Senior Credit Controller,48,60,72
Financial Services and Fintech,Senior Credit Operations Analyst,75,85,90
Financial Services and Fintech,Credit Manager,72,82,96
Financial Services and Fintech,Credit Risk Modelling Manager,80,90,100
Financial Services and Fintech,Margin Executive,45,52,60
Financial Services and Fintech,Customer Service Associate,27,37,38
Financial Services and Fintech,Customer Service Consultant,30,31,33
Financial Services and Fintech,Customer Service Executive,30,40,42
Financial Services and Fintech,Customer Service Officer,36,39,45
Financial Services and Fintech,Client Services Officer,30,42,45
Financial Services and Fintech,Client Services Specialist,36,46,48
Financial Services and Fintech,Client Services Manager,120,140,160
Financial Services and Fintech,Vice President Client Services,130,150,180
Financial Services and Fintech,Client Experience Specialist,30,32,34
Financial Services and Fintech,Client Processing Specialist,44,54,60
Financial Services and Fintech,Transfer Agency Associate,36,42,48
Financial Services and Fintech,Senior Transfer Agency Associate,48,54,60
Financial Services and Fintech,KYC Analyst,30,56,72
Financial Services and Fintech,Senior KYC Analyst,60,72,80
Financial Services and Fintech,Assistant Vice President AML,60,74,100
Financial Services and Fintech,Client Onboarding Officer,30,37,42
Financial Services and Fintech,Client Onboarding Analyst,36,63,96
Financial Services and Fintech,Client Onboarding Advisor,50,77,120
Financial Services and Fintech,Vice President Client Onboarding,130,160,180
Financial Services and Fintech,Paralegal,48,67,85
Financial Services and Fintech,Company Secretary,80,110,260
Financial Services and Fintech,Legal Counsel,120,170,220
Financial Services and Fintech,Senior Legal Counsel,150,195,315
Financial Services and Fintech,Litigation Counsel,120,160,200
Financial Services and Fintech,General Counsel,260,310,360
Financial Services and Fintech,Investment Operations Associate,48,55,60
Financial Services and Fintech,Loan Operations Associate,48,55,66
Financial Services and Fintech,Money Market Operations Associate,48,65,80
Financial Services and Fintech,Capital Markets Operations Team Lead,80,82,85
Financial Services and Fintech,Futures and Options Operations Associate,48,70,100
Financial Services and Fintech,Operations Officer,36,48,60
Financial Services and Fintech,Operations Associate,48,72,84
Financial Services and Fintech,Operations Manager,85,95,120
Financial Services and Fintech,Vice President Operations,110,180,200
Financial Services and Fintech,Head of Operations,120,200,350
Financial Services and Fintech,Product Data Operations Manager,60,72,110
Financial Services and Fintech,Trade Operations Executive,39,40,50
Financial Services and Fintech,Trade Support Associate,42,60,72
Financial Services and Fintech,Trade Finance Operations Officer,42,60,72
Financial Services and Fintech,Senior Trade Finance Operations Officer,48,65,84
Financial Services and Fintech,Trade Operations Manager,90,125,130
Financial Services and Fintech,Vice President Trade Operations,130,150,180
Financial Services and Fintech,Product Control Associate,60,78,96
Financial Services and Fintech,Assistant Vice President Product Control,100,110,130
Financial Services and Fintech,Vice President Product Control,130,160,200
Financial Services and Fintech,Valuation Manager,100,115,130
Financial Services and Fintech,Risk Associate,36,53,72
Financial Services and Fintech,Senior Risk Analyst,42,49,54
Financial Services and Fintech,Assistant Risk Manager,48,60,80
Financial Services and Fintech,Risk Manager,60,85,132
Financial Services and Fintech,Assistant Vice President Risk,70,105,120
Financial Services and Fintech,Vice President Operational Risk Control,90,100,130
Financial Services and Fintech,Head of Risk Management,120,150,180
Financial Services and Fintech,Director Risk Management,192,210,230
Financial Services and Fintech,Data Analyst,54,72,96
Financial Services and Fintech,Data Engineer,54,72,96
Financial Services and Fintech,Data Engineering Lead,120,144,204
Financial Services and Fintech,Database Administrator,72,84,108
Financial Services and Fintech,Data Scientist,84,108,156
Financial Services and Fintech,Data Architect,108,120,156
Financial Services and Fintech,Data Integration Manager,108,144,180
Financial Services and Fintech,Chief Data Scientist,144,156,180
Financial Services and Fintech,DevOps Engineer,90,108,132
Financial Services and Fintech,Enterprise Architect,132,156,360
Financial Services and Fintech,Digital Transformation Manager,114,126,156
Financial Services and Fintech,Digital Transformation Specialist,144,180,300
Financial Services and Fintech,Head of Software Engineering,156,200,360
Financial Services and Fintech,ERP Specialist,80,90,100
Financial Services and Fintech,ERP Manager,84,104,120
Financial Services and Fintech,IT Project Manager,72,96,156
Financial Services and Fintech,IT Manager,108,120,156
Financial Services and Fintech,IT Program Manager,96,132,180
Financial Services and Fintech,Network Engineer,100,102,105
Financial Services and Fintech,Network Operations Manager,108,120,132
Financial Services and Fintech,Network Architect,108,120,156
Financial Services and Fintech,Infrastructure and Operations Manager,108,120,180
Financial Services and Fintech,Network Design Lead,120,156,180
Financial Services and Fintech,Senior IT Analyst,48,54,78
Financial Services and Fintech,System Analyst,60,90,96
Financial Services and Fintech,Senior System Engineer,72,84,120
Financial Services and Fintech,Technical Architect,84,96,120
Financial Services and Fintech,Technical Project Manager,84,96,156
Financial Services and Fintech,IT Security Specialist,78,90,120
Financial Services and Fintech,IT Security Manager,90,120,150
Financial Services and Fintech,Head of IT Security,150,175,200
Financial Services and Fintech,IT Audit Manager,108,132,200
Financial Services and Fintech,"IT Risk Governance and Compliance
Manager",108,120,150
Financial Services and Fintech,Application Support Specialist,78,90,120
Financial Services and Fintech,Head of Application Support,100,120,200
Financial Services and Fintech,Product Manager,108,120,150
Financial Services and Fintech,Product Director,132,150,180
Financial Services and Fintech,Software Engineer,60,84,120
Financial Services and Fintech,Head of Software Engineering,144,156,200
Financial Services and Fintech,Application Manager,96,108,156
Financial Services and Fintech,Application Architect,120,144,180
Financial Services and Fintech,Solution Delivery Manager,108,120,144
Financial Services and Fintech,Solution Architect,108,120,180
Financial Services and Fintech,Back End / Front End Developer,60,84,120
Financial Services and Fintech,Full Stack Developer,78,90,120
Financial Services and Fintech,Full Stack Architect,120,150,180
Financial Services and Fintech,Designer,60,84,108
Financial Services and Fintech,Manager,96,108,120
Financial Services and Fintech,Loan Operations Analyst,36,45,60
Financial Services and Fintech,Senior Loan Operations Analyst,60,67,72
Financial Services and Fintech,Lending Operations Analyst,36,51,60
Financial Services and Fintech,Operations Analyst,36,66,84
Financial Services and Fintech,Accounts Officer,36,39,42
Financial Services and Fintech,Accounts Executive,33,41,48
Financial Services and Fintech,Accountant,42,60,78
Financial Services and Fintech,Accounting Supervisor,62,75,84
Financial Services and Fintech,Accounting Manager,90,100,120
Financial Services and Fintech,Fund Accountant,48,60,75
Financial Services and Fintech,Senior Fund Accountant,60,70,85
Financial Services and Fintech,Vice President Fund Accounting,150,165,180
Financial Services and Fintech,Senior Vice President Fund Accounting,200,210,220
Financial Services and Fintech,Fraud Accounting Manager,84,100,120
Financial Services and Fintech,Finance Analyst,36,46,75
Financial Services and Fintech,Senior Finance Analyst,72,84,90
Financial Services and Fintech,"Financial Planning & Analysis (FP&A)
Manager",120,140,160
Financial Services and Fintech,Trade Finance Analyst,36,44,48
Financial Services and Fintech,Financial Reporting Associate,42,43,45
Financial Services and Fintech,Internal Audit Officer,48,60,90
Financial Services and Fintech,Assistant Vice President Internal Audit,72,92,100
Financial Services and Fintech,Vice President Internal Audit,100,151,220
Financial Services and Fintech,Financial Controller,140,165,200
Financial Services and Fintech,Fund Controller,160,180,200
Financial Services and Fintech,Cash Operations Analyst,36,48,54
Financial Services and Fintech,Cash Operations Associate,48,55,60
Financial Services and Fintech,Cash Operations Team Lead,80,100,120
Financial Services and Fintech,Junior Claims Executive,36,38,40
Financial Services and Fintech,Claims Executive,40,42,48
Financial Services and Fintech,Senior Claims Executive,50,55,60
Financial Services and Fintech,Assistant Claims Manager,60,64,84
Financial Services and Fintech,Finance Administrator,36,39,42
Financial Services and Fintech,Finance Executive,48,48,60
Financial Services and Fintech,Assistant Finance Manager,72,85,100
Financial Services and Fintech,Finance Manager,84,112,140
Financial Services and Fintech,Vice President Finance Operations,144,151,156
Financial Services and Fintech,Finance Director,150,250,290
Financial Services and Fintech,Tax Advisory Accountant,60,82,96
Financial Services and Fintech,Assistant Vice President Tax,120,125,130
Financial Services and Fintech,Treasury Executive,36,41,43
Financial Services and Fintech,Senior Treasury Analyst,48,55,60
Financial Services and Fintech,Treasury Director,180,212,260
Financial Services and Fintech,C&B Executive,81,105,110
Financial Services and Fintech,C&B Manager,120,150,180
Financial Services and Fintech,Human Resources -,,,
Financial Services and Fintech,Junior HRBP,60,70,80
Financial Services and Fintech,Senior HBRP,80,100,120
Financial Services and Fintech,HRBP Manager,120,200,270
Financial Services and Fintech,Senior HR Operations Officer,42,66,78
Financial Services and Fintech,Senior HR Executive,64,69,70
Financial Services and Fintech,Senior HR Consultant,58,74,96
Financial Services and Fintech,Assistant HR Manager,80,95,100
Financial Services and Fintech,HR Manager,90,125,144
Financial Services and Fintech,Senior HR Manager,120,140,160
Financial Services and Fintech,HR Director,180,245,310
Financial Services and Fintech,Talent Acquisition Specialist,50,64,78
Financial Services and Fintech,Talent Acquisition Manager,80,100,120
Financial Services and Fintech,Senior Talent Acquisition Manager,120,150,180
Financial Services and Fintech,Learning and Development Executive,54,67,80
Financial Services and Fintech,Talent Development Manager,90,105,125
Financial Services and Fintech,Senior Talent Development Manager,125,157,190
Financial Services and Fintech,CRM Manager,72,106,140
Financial Services and Fintech,Digital Marketing Executive,42,56,70
Financial Services and Fintech,"Assistant User Experience / User Interface
(UX / UI) Manager",60,72,85
Financial Services and Fintech,"User Experience / User Interface (UX / UI)
Manager",70,82,95
Financial Services and Fintech,Digital Marketing Manager,66,93,120
Financial Services and Fintech,Digital Marketing Director,150,200,250
Financial Services and Fintech,E-commerce Manager,84,117,150
Financial Services and Fintech,E-commerce Director,175,200,250
Financial Services and Fintech,Events Manager,66,82,84
Financial Services and Fintech,Graphic Web Designer,54,66,70
Financial Services and Fintech,Marketing and Communications Specialist,54,69,85
Financial Services and Fintech,Marketing and Communications Manager,72,106,140
Financial Services and Fintech,Director Marketing and Communications,140,170,200
Financial Services and Fintech,Corporate Communications Manager,60,63,66
Financial Services and Fintech,Investor Relations Manager,72,104,120
Financial Services and Fintech,Copywriter,42,59,69
Financial Services and Fintech,Assistant Marketing Manager,46,53,60
Financial Services and Fintech,Marketing Manager,66,88,110
Financial Services and Fintech,Marketing Director,130,145,180
Financial Services and Fintech,Senior Marketing Director,150,175,200
Financial Services and Fintech,Head of Marketing,160,185,220
Financial Services and Fintech,Product Specialist,75,82,90
Financial Services and Fintech,Product Manager,85,102,120
Financial Services and Fintech,Product Director,130,155,180
Financial Services and Fintech,Solution Sales Manager,80,100,120
Financial Services and Fintech,Vice President Solution Sales,120,150,180
Financial Services and Fintech,Senior Vice President Solution Sales,180,215,250
Financial Services and Fintech,Derivative Operations Manager,90,110,130
Financial Services and Fintech,Senior Vice President Derivative Operations,150,175,200
Financial Services and Fintech,Indirect Procurement Manager,80,96,110
Financial Services and Fintech,Vice President Procurement,150,185,220
Financial Services and Fintech,Senior Vice President Procurement,200,242,260
Financial Services and Fintech,Administrator,45,60,66
Financial Services and Fintech,Front Desk and Administration Executive,45,60,72
Financial Services and Fintech,Senior Administration Executive,60,69,78
Financial Services and Fintech,Administration and Facilities Manager,78,90,108
Financial Services and Fintech,Administration Manager,84,102,114
Financial Services and Fintech,Executive Assistant,72,90,120
Financial Services and Fintech,Senior Executive Assistant,84,102,144
Financial Services and Fintech,Executive Assistant and Office Manager,84,102,144
Financial Services and Fintech,Junior Office Admininstrator,45,57,62
Financial Services and Fintech,Office Administrator,45,60,66
Financial Services and Fintech,Office Manager,110,132,180
Financial Services and Fintech,Receptionist,54,60,66
Financial Services and Fintech,"Receptionist and Human Resources
Assistant",54,60,69
Financial Services and Fintech,Receptionist and Office Assistant,54,60,66
Financial Services and Fintech,Receptionist and Junior Secretary,54,60,69
Financial Services and Fintech,Senior Secretary,72,81,90
Financial Services and Fintech,Team Assistant,60,72,78
Healthcare and Life Sciences,Chief Operating Officer,250,300,350
Healthcare and Life Sciences,Chief Financial Officer,250,325,400
Healthcare and Life Sciences,Account Manager,50,65,80
Healthcare and Life Sciences,Key Account Executive,45,55,65
Healthcare and Life Sciences,Senior Key Account Manager,110,125,140
Healthcare and Life Sciences,Business Development Manager,90,122,160
Healthcare and Life Sciences,"Business Development and Marketing
Manager",100,125,150
Healthcare and Life Sciences,Business Manager,120,150,180
Healthcare and Life Sciences,Senior Business Development Manager,130,175,220
Healthcare and Life Sciences,Head of Business Development,200,250,300
Healthcare and Life Sciences,Product Specialist,36,54,75
Healthcare and Life Sciences,Senior Product Specialist,60,70,90
Healthcare and Life Sciences,Product Manager,75,145,200
Healthcare and Life Sciences,Product Director,150,190,250
Healthcare and Life Sciences,Sales Representative,40,55,70
Healthcare and Life Sciences,Area Sales Manager,75,90,105
Healthcare and Life Sciences,Sales Manager,95,125,200
Healthcare and Life Sciences,General Manager Sales,180,215,250
Healthcare and Life Sciences,Sales Director,200,250,300
Healthcare and Life Sciences,Sales & Marketing Manager,80,105,140
Healthcare and Life Sciences,Director Sales & Marketing,220,260,300
Healthcare and Life Sciences,Commercial Manager,120,160,200
Healthcare and Life Sciences,Assistant Digital Marketing Manager,75,85,100
Healthcare and Life Sciences,Digital Marketing Manager,100,115,130
Healthcare and Life Sciences,Marketing and Communications Executive,45,60,75
Healthcare and Life Sciences,Marketing and Communications Manager,110,140,170
Healthcare and Life Sciences,Marketing Manager,100,125,150
Healthcare and Life Sciences,Head of Marketing,200,250,300
Healthcare and Life Sciences,Product Manager,95,115,135
Healthcare and Life Sciences,Medical Affairs Manager,100,130,160
Healthcare and Life Sciences,Senior Medical Affairs Manager,180,210,240
Healthcare and Life Sciences,Medical Affairs Director,240,320,400
Healthcare and Life Sciences,Senior RA Executive,50,60,70
Healthcare and Life Sciences,RA Manager,90,152,200
Healthcare and Life Sciences,Senior RA Manager,180,225,270
Healthcare and Life Sciences,RA Director,270,360,450
Healthcare and Life Sciences,Commercial Quality Manager,90,120,150
Healthcare and Life Sciences,Pharmacovigilance Manager,80,100,120
Healthcare and Life Sciences,Chemist,50,55,60
Healthcare and Life Sciences,Head of Product Development,150,167,180
Healthcare and Life Sciences,Manufacturing Engineer,42,52,65
Healthcare and Life Sciences,Maintenance Engineer,60,67,72
Healthcare and Life Sciences,Electrical Engineer,60,70,78
Healthcare and Life Sciences,Service Engineer,60,75,90
Healthcare and Life Sciences,Senior Electrical Engineer,60,80,96
Healthcare and Life Sciences,EHS Manager,140,162,180
Healthcare and Life Sciences,Facilities Engineer,75,95,110
Healthcare and Life Sciences,Field Service Engineer,54,63,72
Healthcare and Life Sciences,Maintenance Engineer,50,55,60
Healthcare and Life Sciences,Project Manager,80,100,120
Healthcare and Life Sciences,Principal Project Manager,140,160,180
Healthcare and Life Sciences,Process Engineer,75,82,90
Healthcare and Life Sciences,Senior Production Engineer,84,100,120
Healthcare and Life Sciences,Production Manager,100,112,120
Healthcare and Life Sciences,Quality Engineer,60,72,84
Healthcare and Life Sciences,Senior Quality Manager,100,130,160
Healthcare and Life Sciences,Quality Assurance (QA) Associate,36,42,48
Healthcare and Life Sciences,Quality Assurance (QA) Manager,70,85,100
Healthcare and Life Sciences,Senior Quality Assurance (QA) Manager,120,150,180
Healthcare and Life Sciences,Director Quality Assurance (QA),180,220,260
Healthcare and Life Sciences,Test Engineer,60,75,85
Healthcare and Life Sciences,Head of Microbiology Laboratory,100,130,160
Healthcare and Life Sciences,Finance / Business Analyst,48,66,96
Healthcare and Life Sciences,Senior Finance / Business Analyst,66,85,100
Healthcare and Life Sciences,Financial Planning and Analysis (FP&A) Manager,95,115,130
Healthcare and Life Sciences,Financial Planning and Analysis (FP&A) Director,150,200,230
Healthcare and Life Sciences,Business Controller,104,156,210
Healthcare and Life Sciences,Pricing Manager,90,100,130
Healthcare and Life Sciences,Internal Auditor,54,60,75
Healthcare and Life Sciences,Senior Internal Auditor,72,85,100
Healthcare and Life Sciences,Internal Audit Manager,91,110,130
Healthcare and Life Sciences,Internal Audit Director,168,195,234
Healthcare and Life Sciences,Risk Governance and Compliance Manager,91,110,156
Healthcare and Life Sciences,Enterprise Risk Management Manager,91,110,169
Healthcare and Life Sciences,Head of Risk Governance and Compliance,182,195,260
Healthcare and Life Sciences,Internal Control Manager,84,110,120
Healthcare and Life Sciences,Accounts Administrator,30,33,36
Healthcare and Life Sciences,Accounts Executive,36,46,48
Healthcare and Life Sciences,"Accountant, Accounts Payable / Receivable",42,56,72
Healthcare and Life Sciences,"Manager, Accounts Payable / Receivable",84,91,120
Healthcare and Life Sciences,Credit Control Executive,36,46,60
Healthcare and Life Sciences,Credit Control Manager,80,110,135
Healthcare and Life Sciences,Payroll Executive,36,48,60
Healthcare and Life Sciences,Payroll Manager,84,100,140
Healthcare and Life Sciences,Cost Accountant,48,64,84
Healthcare and Life Sciences,Costing Manager,91,117,130
Healthcare and Life Sciences,Cost Controller,78,104,156
Healthcare and Life Sciences,Revenue Accountant,60,105,108
Healthcare and Life Sciences,Revenue Manager,91,102,130
Healthcare and Life Sciences,Accountant,48,58,74
Healthcare and Life Sciences,Senior Accountant,66,74,84
Healthcare and Life Sciences,Finance Manager,85,100,120
Healthcare and Life Sciences,Senior Finance Manager,110,125,144
Healthcare and Life Sciences,Finance Controller,120,156,180
Healthcare and Life Sciences,Finance Director,170,200,250
Healthcare and Life Sciences,"Head of Finance Operations /
Head of Shared Services",169,240,260
Healthcare and Life Sciences,Chief Financial Officer,250,325,400
Healthcare and Life Sciences,Tax Analyst,48,70,85
Healthcare and Life Sciences,Senior Tax Analyst / Assistant Tax Manager,70,85,100
Healthcare and Life Sciences,Tax Manager,80,120,180
Healthcare and Life Sciences,Indirect Tax Manager,80,120,156
Healthcare and Life Sciences,Transfer Pricing Manager,90,120,156
Healthcare and Life Sciences,Head of Tax / Tax Director,180,210,250
Healthcare and Life Sciences,Treasury Analyst,48,60,72
Healthcare and Life Sciences,Senior Treasury Analyst,60,76,91
Healthcare and Life Sciences,Treasury Manager,91,120,156
Healthcare and Life Sciences,Head of Treasury / Treasury Director,182,195,260
Healthcare and Life Sciences,Systems Finance Manager,90,120,156
Healthcare and Life Sciences,Change Management Leader,90,156,195
Healthcare and Life Sciences,Finance Transformation Manager,130,180,230
Healthcare and Life Sciences,Mergers & Acquisitions (M&A) Analyst,72,80,110
Healthcare and Life Sciences,Mergers & Acquisitions (M&A) Manager,104,130,156
Healthcare and Life Sciences,Head of Mergers & Acquisitions (M&A),182,220,260
Healthcare and Life Sciences,Compliance Manager,110,130,150
Healthcare and Life Sciences,Senior Compliance Manager,180,200,220
Healthcare and Life Sciences,Compliance Director,250,290,330
Healthcare and Life Sciences,Legal Counsel,100,140,180
Healthcare and Life Sciences,Senior Legal Counsel,160,185,220
Healthcare and Life Sciences,General Counsel,250,300,350
Healthcare and Life Sciences,HRBP,100,150,200
Healthcare and Life Sciences,Organisational Development Partner,90,120,150
Healthcare and Life Sciences,Head of HR,180,240,300
Healthcare and Life Sciences,Payroll Officer,30,33,36
Healthcare and Life Sciences,Talent Acquisition Specialist,50,60,70
Healthcare and Life Sciences,Head of Talent Acquisition,120,150,180
Healthcare and Life Sciences,Talent Development Lead,90,105,120
Healthcare and Life Sciences,Senior Talent Development Manager,100,122,144
Healthcare and Life Sciences,Logistics Manager,84,96,108
Healthcare and Life Sciences,Assistant Procurement Manager,70,85,100
Healthcare and Life Sciences,Procurement Manager,100,125,150
Healthcare and Life Sciences,Indirect Procurement Manager,100,151,160
Healthcare and Life Sciences,Procurement Director,150,175,200
Healthcare and Life Sciences,Head of Procurement,216,246,276
Healthcare and Life Sciences,Supply Chain Executive,45,50,55
Healthcare and Life Sciences,Supply Chain Analyst,45,50,55
Healthcare and Life Sciences,Supply Chain Manager,100,150,200
Healthcare and Life Sciences,Supply Planner,60,80,100
Healthcare and Life Sciences,Supply Planning Manager,75,100,125
Healthcare and Life Sciences,Contract and Supplier Management Analyst,50,60,70
Healthcare and Life Sciences,Export Control Assistant Manager,65,75,95
Healthcare and Life Sciences,Data Engineer,80,90,100
Healthcare and Life Sciences,Data Scientist,80,95,120
Healthcare and Life Sciences,Data Analyst,80,100,120
Healthcare and Life Sciences,Data Analytics Manager,120,132,144
Healthcare and Life Sciences,Business Intelligence (BI) Analyst,65,80,95
Healthcare and Life Sciences,Senior Business Intelligence (BI) Specialist,75,80,105
Healthcare and Life Sciences,"Business Intelligence (BI) and
Data Analytics Manager",120,160,200
Healthcare and Life Sciences,Enterprise Architect,100,140,180
Healthcare and Life Sciences,Digital Transformation Executive,60,70,80
Healthcare and Life Sciences,Digital Transformation Specialist,150,167,180
Healthcare and Life Sciences,ERP Business Analyst,84,91,96
Healthcare and Life Sciences,ERP Analyst,90,100,110
Healthcare and Life Sciences,ERP Manager,120,135,150
Healthcare and Life Sciences,IT Project Manager,90,120,150
Healthcare and Life Sciences,IT Project Director,160,190,220
Healthcare and Life Sciences,IT Business Partner,120,135,150
Healthcare and Life Sciences,Technical Specialist,50,55,60
Healthcare and Life Sciences,Technical Architect,90,105,120
Healthcare and Life Sciences,Service Delivery Manager,91,106,117
Healthcare and Life Sciences,Assistant IT Audit Manager,80,85,90
Healthcare and Life Sciences,IT Security Analyst,60,70,80
Healthcare and Life Sciences,Senior IT Security Analyst,75,90,105
Healthcare and Life Sciences,IT Security Manager,120,135,150
Healthcare and Life Sciences,Software Engineer,60,70,80
Healthcare and Life Sciences,Software Engineer Lead,72,79,84
Healthcare and Life Sciences,Solution Architect,90,100,110
Healthcare and Life Sciences,Solution Partner / Director,180,190,200
Retail,Customer Relations Officer,36,45,54
Retail,Finance / Business Analyst,48,66,96
Retail,Senior Finance / Business Analyst,66,85,100
Retail,Financial Planning and Analysis (FP&A) Manager,95,115,130
Retail,Manager,95,115,130
Retail,Financial Planning & Analysis (FP&A) Director,150,200,230
Retail,Director,150,200,230
Retail,Business Controller,104,156,210
Retail,Pricing Manager,90,100,130
Retail,Internal Auditor,54,60,75
Retail,Senior Internal Auditor,72,85,100
Retail,Internal Audit Manager,91,110,130
Retail,Internal Audit Director,168,195,234
Retail,Risk Governance and Compliance Manager,91,110,156
Retail,Head of Risk Governance and Compliance,182,195,260
Retail,Internal Control Manager,84,110,120
Retail,Enterprise Risk Management Manager,91,110,169
Retail,Accounts Administrator,30,33,36
Retail,Accounts Executive,36,46,48
Retail,"Accountant, Accounts Payable / Receivable",42,56,72
Retail,"Manager, Accounts Payable / Receivable",84,91,120
Retail,Credit Control Executive,36,46,60
Retail,Credit Control Manager,80,110,135
Retail,Payroll Executive,36,48,60
Retail,Payroll Manager,84,100,140
Retail,Cost Accountant,48,64,84
Retail,Costing Manager,91,117,130
Retail,Cost Controller,78,104,156
Retail,Revenue Accountant,60,105,108
Retail,Revenue Manager,91,102,130
Retail,Accountant,48,58,74
Retail,Senior Accountant,66,74,84
Retail,Finance Manager,85,100,120
Retail,Senior Finance Manager,110,125,144
Retail,Finance Controller,120,156,180
Retail,Finance Director,170,200,250
Retail,"Head of Finance Operations /
Head of Shared Services",169,240,260
Retail,Chief Financial Officer,250,325,400
Retail,Tax Analyst,48,70,85
Retail,Senior Tax Analyst / Assistant Tax Manager,70,85,100
Retail,Tax Manager,80,120,180
Retail,Indirect Tax Manager,80,120,156
Retail,Transfer Pricing Manager,90,120,156
Retail,Head of Tax / Tax Director,180,210,250
Retail,Treasury Analyst,48,60,72
Retail,Senior Treasury Analyst,60,76,91
Retail,Treasury Manager,91,120,156
Retail,Head of Treasury / Treasury Director,182,195,260
Retail,Systems Finance Manager,90,120,156
Retail,Change Management Leader,90,156,195
Retail,Finance Transformation Manager,130,180,230
Retail,Mergers & Acquisitions (M&A) Analyst,72,80,110
Retail,Mergers & Acquisitions (M&A) Manager,104,130,156
Retail,Head of Mergers & Acquisitions (M&A) /,,,
Retail,Mergers & Acquisitions (M&A) Director,182,220,260
Retail,Junior HRBP,48,58,60
Retail,HRBP,72,84,100
Retail,HR Coordinator,48,58,60
Retail,Senior HR Executive,54,57,60
Retail,HR Manager,90,105,120
Retail,General Manager HR,250,275,300
Retail,Head of HR,250,275,300
Retail,Talent Acquisition Manager,90,105,120
Retail,Senior Talent Development Manager,100,110,120
Retail,Talent Management Manager,96,116,132
Retail,Senior Brand Executive,48,58,90
Retail,Brand Ambassador,68,90,100
Retail,Assistant Brand Manager,54,85,96
