english	mandarin
Dr Koh Poh Koon, Senior Minister of State, Ministry of Trade and Industry	贸工部高级政务部长许宝琨医生
Dr Lam Pin Min	蓝彬明医生
Dr Lam Pin Min, Senior Minister of State, Ministry of Transport & Ministry of Health	交通部兼卫生部高级政务部长蓝彬明医生
Dr Lily Neo	梁莉莉医生
Dr Lim Wee Kiak	林伟杰医生
Dr Mohamad Maliki Bin Osman	孟理齐博士
Dr Mohamad Maliki Bin Osman, Senior Minister of State, Ministry of Defence & Ministry of Foreign Affairs	国防部兼外交部高级政务部长孟理齐博士
Dr Ng Eng Hen	黄永宏医生
Dr Ng Eng Hen, Minister for Defence	国防部长黄永宏医生
Dr Tan Wu Meng	陈有明医生
Dr Tan Wu Meng, Senior Parliamentary Secretary, Ministry of Foreign Affairs & Ministry of Trade and Industry	外交部兼贸工部高级政务次长陈有明医生
Dr Teo Ho Pin	张俰宾博士
Dr Vivian Balakrishnan	维文医生
Dr Vivian Balakrishnan, Minister for Foreign Affairs	外交部长维文医生
Drain System	排水沟系统
Drainage Reserve	排水道
Drainage Reserve Line	排水预留土地界线
Drainage System	排水系统
Drama Centre	戏剧中心
Drama in education	教育戏剧
Draw Down Age (DDA)	最低存款提取年龄
Drawing plan	绘图计划书
DRAYCOTT DRIVE	德雷葛通道
DRAYCOTT PARK	德雷葛园
Drink Driving	醉酒驾车
Driver Improvement Points System	驾驶员赏罚记分制度
Driving Circuit	驾驶训练场
Driving Test	驾驶考试
Drone	无人机
Drop-in Disability	成人残疾者临时托管计划
Drug Abuse	滥用毒品
Drug parties/gatherings	毒品聚会
Drug Rehabilitation Centre (DRC)	戒毒所
Drug Rehabilitation Centres Review Committees	戒毒所审查委员会
Drug Supervision Scheme	嗜毒者监管计划
DRYBURGH AVENUE	德莱堡道
DSO National Laboratories	国防科技研究院
DSTA Chief Information Officer	国防科技局资讯长
Dual Carriageway	双车道公路
Dual class share structure (DCS)	双层股权结构
Dual Use Scheme (DUS)	双重用途计划
DUBLIN ROAD	都柏林路
DUCHESS AVENUE	公爵夫人道
DUCHESS PLACE	公爵夫人坊
DUCHESS ROAD	公爵夫人路
DUCHESS WALK	公爵夫人径
DUKE'S ROAD	公爵路
DUKU LANE	杜果巷
DUKU PLACE	杜果坊
DUKU ROAD	杜果路
DUNBAR WALK	丹宝径
DUNDEE ROAD	丹蒂路
DUNEARN CLOSE	杜尼安弄
DUNEARN ROAD	杜尼安路
DUNEARN UNDERPASS	杜尼安地下车道
DUNKIRK AVENUE	登克道
DUNLOP STREET	南洛街
DUNMAN LANE	德明巷
DUNMAN ROAD	德明路
DUNSFOLD DRIVE	丹士福通道
DURBAN ROAD	德曼路
DURHAM ROAD	德汉路
Dutiable goods	需纳税货物
Duty Fire Officer	值勤消防官员
Duty Hazmat Officer	值勤危险物质官员
Duty Media Officer	值勤媒体官员
Duty Officer	值勤官员
DUXTON HILL	达士敦山
DUXTON ROAD	达士敦路
DVB-T2 Digital Set-top box	DVB-T2数码接收器
Dynamic multimedia content	精彩的多媒体内容
DYSON ROAD	泰顺路
EAN KIAM PLACE	延谦坊
Early Childhood Development Agency (ECDA)	幼儿培育署 (幼培署)
Early Literacy Library	幼儿阅读馆
Early Turnover Scheme (ETS)	提早换车计划
Early Years Development Framework (EYDF)	婴幼儿培育框架
Early Years Development Framework Learner's Guide	婴幼儿培育框架学员指南
Early Years Development Framework Trainer's Manual	婴幼儿培育框架讲师指南
Earned Income-Relief	劳力所得扣除
EAST COAST AVENUE	东海岸通道
EAST COAST DRIVE	东海岸道
East Coast GRC	东海岸集选区
EAST COAST PARK SERVICE ROAD	东海岸公园副路
EAST COAST PARKWAY	东海岸公园大道
EAST COAST ROAD	东海岸路
EAST COAST TERRACE	东海岸台
EAST SUSSEX LANE	东赛硕斯巷
EASTWOOD DRIVE	东林通道
EASTWOOD GREEN	东林埔
EASTWOOD PLACE	东林坊
EASTWOOD ROAD	东林路
EASTWOOD TERRACE	东林台
EASTWOOD WALK	东林径
EASTWOOD WAY	东林大道
EASY (e-Services Authorisation System)	电子服务授权系统
EATON PLACE	伊顿坊
EATON WALK	伊顿径
EBER ROAD	伊巴路
eCitizen	电子公民
EcoFriend Award	环境之友奖
Eco-Link	生态联道
Economic and International Committee	经济及国际推广委员会
Economic Development Board (EDB)	经济发展局 (经发局)
Economic Policy	经济政策
Economic Strategies Committee (ESC)	经济战略委员会
Economic Value Added (EVA)	经济增值
Economies of scale	规模经济
Economist Service Scholarship (ES Scholarship)	经济师服务奖学金
EDEN GROVE	伊甸林
EDGEDALE PLAINS	临谷坪
EDGEFIELD PLAINS	临原坪
EDGEFIELD WALK	临原径
EDGWARE ROAD	爱兹瓦路
EDINBURGH BRIDGE	爱登堡桥
EDINBURGH ROAD	爱登堡路
Education & Outreach	教育与外展
Education and Career Guidance (ECG)	教育及职业辅导
Education and Youth Committee	教育及青年委员会
Education landscape	教育景观
Education Pathway	升学途径
Edusave	教育储蓄
Edusave Awards	教育储蓄基金奖
Edusave Awards for Achievement, Good Leadership and Service (EAGLES)	教育储蓄活动成就奖
Edusave Character Award	品德奖
Edusave Grant	教育储蓄补助金
Edusave Merit Bursary (EMB)	教育储蓄优异助学金
Edusave Pupil Fund	教育储蓄学生基金
Edusave Scholarship	教育储蓄奖学金
EduTrust Scheme	教育信托保障计划
EduTrust Support Scheme (ESS)	教育信托保障辅助计划
Edwin Tong Chun Fai	唐振辉
EE TEOW LENG ROAD	余兆龙路
E-filing	电子报税
E-Filing Service Centres	电子报税服务中心
E-Flag	电子国旗
e-freight@Singapore	新加坡电子空运计划
eGov Global Exchange	电子政府环球交流会
E-Government 2015 (eGov 2015)	电子政府2015
e-Government Masterplan	e政府蓝图
EL Innovation Fund	英文创新基金
Eldercare	乐龄关怀
Eldercare Fund	老人护理基金
Eldercare services	老年护理服务
ElderFund	乐龄关护基金
ElderShield	乐龄健保
ElderShield Review Committee	乐龄健保检讨委员会
ElderShield supplements	乐龄健保额外附加保险
Election Agent	选举代理人
Election Deposit	候选人按柜金
Election Officials (EOs)	选务官员
Elections	选举
Elections Department (ELD)	选举局
Elector	选民
Electoral Boundaries Review Committee	选区划分检讨委员会
Electoral Boundary Map (Electoral Map)	选区分界图
Electricity Board	电路板
Electricity Futures Market	能源期货市场
Electricity imports	电力进口
Electricity Management System (EMS)	电力管理系统
Electricity pool price	电力池价
Electricity Retailers	电力零售商
Electro-Mobility Singapore Task Force	电驱运输工作小组
Electronic bill of lading	电子提单
Electronic Fund Transfer	电子转账
Electronic lodgement	电子申报
Electronic monitoring device	电子追踪器
Electronic Monitoring System	电子监控系统
Electronic Payments Society	电子支付社会
Electronic Police Centre	电子警察局
Electronic Pricing System (EPS)	电子收费系统
Electronic Renewal Of Driving License	电子更新驾驶执照
Electronic Road Pricing (ERP)	公路电子收费
Electronic tax form	电子纳税表
Electronic Transactions Act	电子交易法令
ELGIN BRIDGE	埃尔金桥
ELIAS GREEN	伊莱雅埔
ELIAS ROAD	伊莱雅路
ELIAS TERRACE	伊莱雅台
e-License Info Service (ELISE)	电子执照资讯服务系统
Eligibility checks/ Eligibility checks for  MediShield Life Premium Subsidies	资格鉴定/终身健保保费津贴资格鉴定
Eligible households	符合条件的家庭
ELITE PARK AVENUE	谊立园道
ELITE TERRACE	谊立雅台
ELIZABETH DRIVE	伊丽沙白通道
ELLINGTON SQUARE	艾灵顿广场
ELLIOT ROAD	依洛路
ELLIOT WALK	依洛径
ELLIS ROAD	爱丽斯路
ELM AVENUE	依茵道
eLobby	电子服务大厅
Elvis Group	猫王粉丝团
EMAS Arterial Variable Message Signs (AVMS)	主干公路灵活消息电子显示牌
EMAS Vehicle Recovery Service	EMAS汽车支援服务
EMA-SIT Exploiting Distributed Generation (EDGE) Programme	能源局-新加坡理工大学分布式能源发电计划
Embassy	大使馆
Embracing diversity for racial and religious harmony	包容种族宗教多元化
Embracing PArenthood Movement	全家共享亲子乐
EMERALD HILL ROAD	翡翠山路
EMERALD LINK	翡翠连路
Emergency Broadcast System	紧急广播系统
Emergency Evacuation	紧急疏散
Emergency Evacuation Exercise	紧急疏散演习
Emergency Planning Roadmap	紧急资源策划
Emergency Preparedness (EP) Day	紧急应变日
Emergency Preparedness Family programme	紧急应变家庭计划
Emergency Response Kit	紧急应急箱
Emergency Response Specialist	紧急救援专业人员
Emergency Shelter Exercise	紧急防空壕演习
Emeritus Senior Minister (ESM)	荣誉国务资政
Emily Hill Institute for Creative Enterprise	艾美丽山创意企业学院
Employer Alliance	雇主联盟
Employer CPF contribution	雇主公积金缴交额
Employer's return	雇主报税表
Employment Act	雇佣法令
Employment Agencies Act (EAA)	雇佣代理法令
Employment and Employability Institute (e2i)	就业与技能培训中心
Employment Assistance Payment (EAP)	雇佣援助金
Employment Claims Tribunal (ECT)	雇佣纠纷索偿庭
Employment Facilitation	就业辅助
Employment of Foreign Manpower Act (EFMA)	雇佣外籍劳工法令
Employment Pass holder	就业准证持有人
Employment Pass Services Centre	就业准证服务中心
Employment Quotas	雇佣限额
Employment Release Selection Committee	就业计划委员会
Empowered Teens (eTeens)	e青少年
EMPRESS PLACE	皇后坊
EMPRESS ROAD	皇后路
Enable A Family Volunteer Scheme (EAF Volunteer Scheme)	加强家庭关系计划
Enabling Employers Network (EEN)	协助残疾人就业雇主联络网
Enabling Employers Network Award	协助残疾人就业雇主奖项
Enabling Masterplan	加强残疾服务总蓝图
Enabling Masterplan Implementation Committee (EMIC)	加强残疾服务总蓝图落实委员会
Enabling Masterplan Steering Committee (EMSC)	加强残疾服务总蓝图指导委员会
En-bloc	集体出售
Encouraging/Enabling a Sporting Lifestyle	鼓励/推动体育生活
Endurance-class Landing Ship Tank	坚韧级登陆舰
Energy Ambassador Programme	能源大使计划
Energy Audit	能源审计
Energy Conservation Act	节能法令
Energy Educators Forum	能源教育者论坛
Energy Efficiency Assistance Scheme (EASe)	能源效率提升援助计划
Energy Efficiency National Partnership programme (EENP)	全国节能合作交流平台
Energy Efficiency Project Implementation	能源效率项目实施
Energy Efficiency Thought Leadership	能源效率思维领导
Energy Grid 2.0	能源网络2.0版
Energy Index	能源指数
Energy Innovation	能源创新
Energy Managers Programme	能源经理计划
Energy Market Authority (EMA)	能源市场管理局 (能源局)
Energy Monitoring Systems	能源监控系统
Energy Resilience	能源韧性
Energy Service Companies (ESCOs)	能源服务公司
Energy Standards Committee (ENSC)	能源标准委员会
Energy Storage Systems	能源储存系统
Energy Storage Systems Policy Paper	能源储存系统政策文件
Energy Utilisation Index (EUI)	能耗指数
Energy-Industry Scholarship (EIS)	能源工业奖学金
Eng Choon Hway Kuan Singapore	新加坡永春会馆
Eng Chuan Kong Soh	颖川公所
ENG HOON STREET	英云街
ENG KONG CRESCENT	永康弯
ENG KONG DRIVE	永康大道
ENG KONG GARDEN	永康花园
ENG KONG LANE	永康巷
ENG KONG PLACE	永康坊
ENG KONG ROAD	永康路
ENG KONG TERRACE	永康台
ENG NEO AVENUE	英娘道
ENG NEO FLYOVER	英娘立交桥
Eng Teng Association	永定会馆
ENG WATT STREET	永发街
Eng Yong Tong Tay Si Association	新加坡荥阳堂郑氏公会
Engagement Committee	国庆活动民众联系组
ENGGOR STREET	英莪街
ENGINEERING DRIVE 1	工程1通道
ENGINEERING DRIVE 2	工程2通道
ENGINEERING DRIVE 3	工程3通道
ENGINEERING DRIVE 4	工程4通道
ENGKU AMAN ROAD	翁姑亚曼路
ENGKU AMAN TURN	翁姑亚曼弯
English Language Institute of Singapore (ELIS)	新加坡英语学院
Enhanced Aerial Flypast	增强版飞行表演
Enhanced Art Programme (EAP)	强化美术课程
Enhanced Central Intermediary Scheme (ECIS)	太阳能发电强化中央中介计划
Enhanced Certified Productivity Practitioner Course	加强版生产力从业者认证课程
Enhanced CPF Housing Grant	额外安居津贴
Enhanced Immigration Automated Clearance System (eIACS)	新自动化移民通关检查系统
Enhanced Industry Energy Efficiency Package	强化工业能源效率配套
Enhanced internship curricula	强化实习课程
Enhanced Learning in Infocomm Technology (ELITe)	增强型资讯科技学习
Enhanced Lease Buyback Scheme (eLBS)	改善屋契回购计划
Enhanced Marriage & Parenthood Package	结婚与生育配套2013
Enhanced Music Programme (EMP)	强化音乐课程
Enhanced Place-and-Train programmes	强化分配与培训计划
Enhanced Programme Evaluation System (EPES)	增强计划评估系统
Enhanced Registration Framework	强化注册框架
Enhanced Retirement Sum	超额存款
Enhanced STEP-UP (ESU)	增强伸展潜能计划
Enhancement for Active Seniors (EASE)	乐龄易计划
Enhancing Quality & Standards	提升质量与标准
Enhancing SME Competitiveness	强化中小企业竞争力
Ensuring social mobility	保持社会流动性
Enterprise and innovation	壮大企业，促进创新
Enterprise Assistance Grant Scheme	企业发展资助计划
Enterprise Development Grant (EDG)	企业发展计划
Enterprise Financing Scheme	企业融资计划
ENTERPRISE ROAD	事业路
Enterprise Singapore (ESG)	新加坡企业发展局 (企发局)
EntrePass	创业入境准证
Entrepreneurship Education Taskforce (EETF)	创业教育专案组
Entrepreneurship Review Committee (EnRC)	企业家精神检讨委员会
Entry Exit Control Upgraded System (EECUS)	电脑出入境控制系统
Entry Permit	入境证
Entry Visa	入境签证
Environment and Infrastructure Committee	环境及基础设施委员会
Environment Standards Committee (EVSC)	环境标准委员会
Environment Technology Research Programme	环境科技研究计划
Environmental and Water Sustainability	环境及水源的持续性
Environmental and Water Technology Centre of Innovation (EWT COI)	环境与水源科技创新中心
Environmental Education	环保教育
Environmental Engineering Industry	环境工程业
Environmental Impact Assessment	环境影响评估
Environmental Initiatives/Projects	环保计划/项目
Environmental Issues	环境课题
Environmental Noise	环境噪音
Environmental Protection and Management Act	环境保护及管理法令
Environmental Public Health Act	公共环境卫生法令
Envision Gallery	环境愿景展览馆
EP Silver Ambassador	应急乐龄大使
E-passport	电子护照
e-Payments	电子付款
E-Pledge	电子信约
EQUESTRIAN WALK	骑士径
Er Dr Lee Bee Wah	李美花
ERNANI STREET	厄纳尼街
ERSKINE ROAD	厄士金路
ESCROW (Student Tuition Fee Account) scheme	学费户头计划
ESPLANADE BRIDGE	海滨桥
ESPLANADE DRIVE	海滨公园通道
Esplanade MRT Station	滨海中心地铁站
Esplanade-Theatres on the Bay	滨海艺术中心
Essential Domestic Services	基本公共服务产业群
Essential Maintenance Service Centre (EMSU)	主要维修服务中心
Essential occupier	基本住户
Essentials of Teaching and Learning Module	教与学实质单元
ESSEX ROAD	爱硕斯路
E-Stamping	电子盖章服务
Estate Duty	遗产税
ESTATE OFFICE DRIVE	产业处通道
Estate Upgrading Programme	私人住宅区翻新计划
Estimated Chargeable Income	预计征税入息
Estimates Committee	预算委员会
Estimates of Expenditure	开支预算
e-Submission of Employment Income Application	电子式提交雇员入息资料系统
E-Townhall	网上民众大会
ETTRICK TERRACE	爱特立台
EU TONG SEN STREET	余东旋街 (俗称南天前)
EUNOS AVENUE 3	友诺士3道
EUNOS AVENUE 4	友诺士4道
EUNOS AVENUE 5	友诺士5道
EUNOS AVENUE 5A	友诺士5A道
EUNOS AVENUE 5B	友诺士5B道
EUNOS AVENUE 6	友诺士6道
EUNOS AVENUE 7	友诺士7道
EUNOS AVENUE 7A	友诺士7A道
EUNOS AVENUE 8	友诺士8道
EUNOS AVENUE 8A	友诺士8A道
Eunos Community Club	友诺士民众俱乐部
EUNOS CRESCENT	友诺士弯
EUNOS FLYOVER	友诺士立交桥
EUNOS LINK	友诺士连路
Eunos MRT Station	友诺士地铁站
EUNOS ROAD 1	友诺士1路
EUNOS ROAD 2	友诺士2路
EUNOS ROAD 3	友诺士3路
EUNOS ROAD 4	友诺士4路
EUNOS ROAD 5	友诺士5路
EUNOS ROAD 6	友诺士6路
EUNOS ROAD 7	友诺士7路
EUNOS ROAD 8	友诺士8路
EUNOS TERRACE	友诺士台
Eurasian Association (EA)	欧亚人协会
Eurasian Community House	欧亚裔协会会所
Evaluation Criteria	评估标准
Evaluation Process	评估准则
EVANS ROAD	爱文士路
EVELYN ROAD	伊芙琳路
EVERGREEN AVENUE	常青道
EVERGREEN GARDENS	常青花园
EVERITT ROAD	艾弗烈路
EVERITT ROAD NORTH	艾弗烈北路
EVERTON PARK	艾弗顿园
EVERTON ROAD	艾弗顿路
Evidence (Civil proceedings in Other Jurisdictions) Act	证据(其他法权下的民事程序)法令
Evidence Act	证据法令
EWART PARK	友和园
EWE BOON ROAD	有文路
Excellent Service Award (EXSA)	全国卓越服务奖
Excise taxes	国产税
Executive Condominium (EC)	执行共管公寓
Executive Development Scholarship (EDS)	企业培育执行奖学金
Executive flats	公寓式组屋
Executive maisonette	双层公寓式组屋
Exempted Business	免受（时间）限制事项
Exercise Community Spirit	社区精神演习
EXETER ROAD	爱斯特路
Ex-gratia payment	额外赔偿/惠给金
Experimental Kindergarten	实验幼儿园
Expired Driving Licence	逾期驾驶执照
Explanatory Statement	解释声明
Explosive And Corrosive Substances	爆炸与腐蚀性物质
Explosive Detector Dogs (EDD Programme)	爆炸物侦察犬计划
Explosive Expert Group	爆炸物专家小组
EXPO DRIVE	博览通道
Expo MRT Station	博览地铁站
Export Readiness Assessment	出口能力评估问卷
Export Strategy Workshop	出口策略研俢班
Expression Wall	“寄语墙”
Expressway Monitoring Advisory System (EMAS)	高速公路监控及信息系统
Expressway Monitoring and Advisory System (EMAS)	高速公路监控及信息发布系统
Expressway Patrol Unit	高速公路巡逻组
Expressway Permit	高速公路准证
Expulsion from the House	被国会开除
e-Xtend	电子签证延长
Extended payment period	延长缴交税款期限
Extraction	拔牙
Extradition Act	引渡法令
Ez-link Card	易通卡
F-15SG Combat Turn	F-15SG战斗机侧飞转弯表演
F-15SG fighter jet	F-15SG型战斗机
F-15SG Multi-role Aircraft	F-15SG多功能战斗机
F-16D BLOCK 52 Fighting Falcon	F-16DBLOCK52+战隼战斗机
Fa Yun Wui Kwun	花县会馆
FABER AVENUE	花柏道
FABER CRESCENT	花柏弯
FABER DRIVE	花柏通道
FABER GREEN	花柏埔
FABER GROVE	花柏林
FABER HEIGHTS	花柏岭
FABER PARK	花柏园
FABER TERRACE	花柏台
FABER WALK	花柏径
Façade Art	建筑壁面艺术
Facilitate Market Access	协助企业进入海外市场
Facilitate Trade	促进贸易
Facilitated Eligibility Checks	简化资格鉴定
FACULTY AVENUE	儒林道
Fair Consideration Framework (FCF)	公平考量框架
FAIRWAYS DRIVE	美丽道通道
FAIRY POINT HILL	菲利波山
Fajar LRT Station	法嘉轻轨列车站
FAJAR ROAD	法嘉路
FALKLAND ROAD	福克兰路
Families for Life Council	凝聚家庭理事会
Family Care Leave	家事假
Family Court	家事法庭
Family Exclusion Order	家属赌场禁门令
Family Justice Act	家事司法法令
Family Justice Committee	家事司法改革跨部门小组
Family Justice Courts	家事司法法庭
Family Justice Rules Committee	家事司法法规小组
Family Law Practitioners	家事法律师
Family Life Champion	家庭生活领袖
Family Life Connector	家联大使
Family Life Section	家庭生活组
Family Medicine Clinic (FMC)	全科医疗诊所
Family Physician (FP)	全科医生
Family Resource Centres	家庭资源中心
Family Service Centre	家庭服务中心
Family Service Centre Hotline	家庭服务中心热线
Family Violence Dialogue Group (FVDG)	家庭暴力对话小组
Family Violence Specialist Centre (FVSC)	家庭暴力专科中心
Family-Friendly Policies at the Workplace	亲家庭的工作政策
FamilyMatters Movement	“家庭为本!”运动
FamilyMatters@Business	“家庭为本!”企业援助计划
FamilyMatters@Business Grant	“家庭为本!”企业援助计划津贴
FamilyMatters@Community	“家庭为本!”社区推广计划
FamilyMatters@School	“家庭为本!”校园推广计划
FamilyMatters@Work	“家庭为本!”职场推广计划
FAN YOONG ROAD	繁荣路
Fare Adjustment Formula	车资调整方程式
Fare Adjustment Framework	车资调整架构
Fare Adjustment Quantum	车资调整幅度
Fare Cap	车资调整顶限
Fare Harmonisation	划一车资结构
Fare Revenue Apportionment	车资收入分摊
Fare Review Exercise	车资检讨
Fare Review Mechanism	车资检讨机制
Fare Review Mechanism Committee	车资检讨委员会
FARLEIGH AVENUE	华丽道
Farmway LRT Station	农道轻轨列车站
FARNBOROUGH ROAD	范波洛路
FARRER COURT	花拉阁
FARRER DRIVE	花拉通道
FARRER FLYOVER	花拉立交桥
Farrer Park MRT Station	花拉公园地铁站
FARRER PARK ROAD	花拉公园路
FARRER PARK STATION ROAD	花拉公园站路
FARRER ROAD	花拉路
Farrer Road MRT Station	花拉路地铁站
FARRER UNDERPASS	花拉地下车道
Fast Response Paramedic	急遣救护专业人员
Fast Response Paramedic (Paramedic Bike)	急遣救护电单车
Fatwa Committee (MUIS)	新加坡回教理事会裁决委员会
Fearless-class Patrol Vessel	无惧级巡逻舰
Feasibility Studies	可行性研究
Federal Bureau Of Investigations	美国联邦调查局
Federation of Chen Clan Association	新加坡陈氏总会
Feeder Bus	支线巴士
Fei Yue Community Services-Project 180	飞跃社区服务180计划
Fei Yue Family Service Centre (Bukit Batok)	飞跃家庭服务中心(武吉巴督)
Fei Yue Family Service Centre (Choa Chu Kang)	飞跃家庭服务中心(蔡厝港)
Fei Yue Family Service Centre (Yew Tee)	飞跃家庭服务中心(油池)
Feng Guo Fen Yang Association	凤廓汾阳公会
Fengshan	凤山
Fengshan Community Club	凤山民众俱乐部
FERNHILL CLOSE	芬禧弄
FERNHILL CRESCENT	芬禧弯
FERNHILL ROAD	芬禧路
FERNVALE CLOSE	芬薇弄
FERNVALE CRESCENT	芬薇弯
FERNVALE LANE	芬薇巷
FERNVALE LINK	芬薇连路
Fernvale LRT Station	芬薇轻轨列车站
FERNVALE ROAD	芬薇路
FERNVALE STREET	芬薇街
FERNWOOD TERRACE	芬木台
Ferry Rescue Exercise (FEREX)	渡轮搜救演习
Festival Director of Arts Festival Limited	艺术节公司艺术总监
Festival Hub	盛会中心
Festival of Biodiversity	生物多元节
Festivals within Festival	艺术节中之艺术节
Feu-de-Joie	欢乐之火
FIDELIO STREET	菲地利奥街
Fiery Lion's Head	火焰狮头造型
FIFTH AVENUE	第5道
FIFTH LOK YANG ROAD	第5洛阳路
FIGARO GARDENS	菲格罗花园
FIGARO STREET	菲格罗街
FIJI ROAD	菲芝路
File Picture	档案照
Filibustering	阻扰议事
Filling	补牙
Film and Multimedia	影视艺术，多媒体艺术
Films Appeal Committee (FAC)	电影上诉委员会
Films Consultative Panel (FCP)	电影咨询委员会
Financial Advisory Industry Review (FAIR)	财务顾问领域检讨
Financial Assistance Scheme	经济援助计划
Financial burden	经济负担
Financial Industry Disputes Resolution Centre (FIDReC)	金融业纠纷调解中心
Financial information	经济情况
Financial Institution	金融机构
Financial Management Toolkit	财务管理工具箱
Financial Services	金融服务
Financial Stability Review	金融稳定检讨报告
Financial year	财政年度
FINLAYSON GREEN	芬礼逊埔
FIR AVENUE	福尔道
Fire Investigation Branch	火患调查科
Fire Investigation Vehicle	火场调查车
Fire Safety Appeals Advisory Board	防火安全上诉咨询委员会
Fire Safety Manager	消防安全经理
Fire Safety Standing Committee	防火安全常委会
FIRST AVENUE	第1道
FIRST HOSPITAL AVENUE	第1医院道
FIRST LOK YANG ROAD	第1洛阳路
First Reading	一读
FIRST STREET	第1街
Fiscal position	财政状况
FISHER STREET	菲沙街
FISHERY PORT ROAD	渔港路
Fitness For Instruction (FFI)	健康检查
Five Power Defence Arrangements (FPDF)	五国联防协议
Fixed Amount on Ward (FAW)	定额病房费计划
Fixed Price Plan	固定价格配套
Flag Dance	旗舞
Flag podium	旗台
Flag State Control	船旗国检查
FLANDERS SQUARE	富兰德广场
Flare System	火炬系统
Flatted factories	多层式工厂
Fleet Commander	海军舰队司令
Flexi Immigration Clearance System (Flex-i)	可变通出入境检查系统
Flexi-adjunct	灵活工作制
FLINT STREET	富林街
Floating wetland	浮动湿地
Flood Alleviation Schemes	防洪计划/水灾控制计划
Flood Protection Measures	防范淹水的措施
Floor of the House	国会议事厅内部
FLORA DRIVE	弗洛拉通道
FLORA ROAD	弗洛拉路
FLORENCE CLOSE	佛罗伦斯弄
FLORENCE ROAD	佛罗伦斯路
FLORIDA ROAD	富罗里达路
FLORISSA PARK	富罗里莎园
FLOWER ROAD	富罗华路
Fly Our Flag	国旗飘扬
Fly-By-Night Company	虚设公司[皮包商/公司]
FOCH ROAD	福士路
Fokker Utility Aircraft	福克通用飞机
Fokker-50 Marine Patrol Aircraft	福克50型海事巡逻机
FOLKESTONE ROAD	福斯顿路
Fong Clan General Association	冯氏总会
Fong Yun Thai Association	丰永大公会
Foo Clan Association	符氏社（祖祠）
FOO KIM LIN ROAD	符建连路
Foo Mee Har	胡美霞
Food & Beverage Services Index (FSI)	餐饮服务指数
Food Automation Unit	食品自动化小组
Food Drinks and Allied Workers' Union (FDAWU)	食品饮料公会
Food Hygiene Regime	食物卫生管制
Food Innovation & Resource Centre (FIRC)	食品创新与资源中心
Food Manufacturing Courses WSQ	食品制造业技能资格鉴定课程
Food Manufacturing Industry	食品制造业
Food Manufacturing Productivity Plan	食品制造业提高生产力计划
Food Productivity Conference	食品生产力研讨会
Food Services Industry	餐饮服务业
Food Standards Committee	食品标准委员会
Food Trail	美食寻访之旅
Food&HotelAsia	亚洲国际食品与酒店展
Foong Shoon Fui Kuan	丰顺会馆
Footpath	人行道/小径
Force Armament Branch	部队配备组
FORD AVENUE	福特道
Foreign Artistic Talent Scheme	艺术人才居留计划
Foreign domestic worker (FDW)	女佣
Foreign Domestic Worker Grant (FDWG)	女佣雇主补贴
Foreign Domestic Worker Levy Concession for Persons with Disabilities	残疾人士雇用外籍女佣税务优惠
Foreign maid levy	外国女佣税
Foreign Operators Surveillance Programme	海外业者监控计划
Foreign Tax Credit	国外课税抵免
Foreign Worker (FW)	外国劳工/客工
Foreign Worker Domestic Grant	女佣雇主补贴
Foreign Worker Levy	外国劳工税
Forensic Conference	刑事搜证大会[法医科寻证大会]
Forensic Scientific Department	法证科研局
Forensics Mobile Lab	流动法证实验室
Foreshore structures	前滩结构
Foreshores Act	前滩法令
FOREST HILL CRESCENT	翠景弯
Form of Quotation	估价表格
Form of Tender	竞标表格
Formation Logistics Warrant Officer in Headquarters Armour	装甲总指挥部后勤编队准尉
Formation Vertical Climb	垂直上冲双飞表演
Former Ford Factory	旧福特车厂
Formidable-class frigate	威武级护卫舰
Fort Canning Lighthouse	福康宁灯塔
FORT CANNING LINK	福康宁连路
Fort Canning MRT Station	福康宁地铁站
FORT CANNING ROAD	福康宁路 (俗称升旗山或皇家山顶)
FORT CANNING TUNNEL	福康宁隧道
FORT ROAD	炮台路
Forward Command Vehicle	灾场指挥车/前线指挥专用车
Forward Planning Exercise	前瞻性规划计划
Fostering Scheme	寄养计划
Foundation Stone	先驱纪念碑石
Four National Taps	国家四大供水来源
Four National Taps Strategy	国家四大供水来源政策
FOURTH AVENUE	第4道
FOURTH CHIN BEE ROAD	第4振美路
FOURTH LOK YANG ROAD	第4洛阳路
FOURTH STREET	第4街
FOWLIE ROAD	法礼路
Framework for Arts Space	艺术空间架构
Franchising	特许经营
FRANCIS THOMAS DRIVE	汤姆士通道
Franked dividends	扣减股息
FRANKEL AVENUE	富兰克道
FRANKEL CLOSE	富兰克弄
FRANKEL DRIVE	富兰克通道
FRANKEL PLACE	富兰克坊
FRANKEL STREET	富兰克街
FRANKEL TERRACE	富兰克台
FRANKEL WALK	富兰克径
FRASER STREET	弗礼沙街
Free Kicks Programme	“周末足球”培训计划
Free Pre-Peak Travel	尖峰时段前免费搭乘地铁计划
Free Trade Agreement (FTA)	自由贸易协议
Free Trade Zone	自由贸易区
Freehold	永久地契
Free-to-air TV (FTA-TV)	免付费电视
FRENCH ROAD	法兰西路
Fresh Start Advisory Committee	“重新拥屋计划”咨询委员会
Fresh Start Housing Grant	重新拥屋购屋津贴
Fresh Start Housing Scheme	重新拥屋计划
Friend of Heritage	文化遗产之友奖
Friend of the Arts Award	艺术之友奖
