Top 10 Country,Country,Type of Visa
Italy,Marshall Islands,visa-free
Italy,Mauritania,visa on arrival
Italy,Mauritius,visa-free
Italy,Mexico,visa-free
Italy,Micronesia,visa-free
Italy,Moldova,visa-free
Italy,Monaco,visa-free
Italy,Mongolia,visa required
Italy,Montenegro,visa-free
Italy,Morocco,visa-free
Italy,Mozambique,visa on arrival
Italy,Myanmar [Burma],visa required / eVisa
Italy,Namibia,visa-free
Italy,Nauru,visa required
Italy,Nepal,visa on arrival
Italy,Netherlands,visa-free
Italy,New Zealand,visa-free
Italy,Nicaragua,visa-free
Italy,Niger,visa required
Italy,Nigeria,visa required
Italy,North Korea,visa required
Italy,Norway,visa-free
Italy,Oman,visa on arrival
Italy,Pakistan,visa required
Italy,Palau,visa-free
Italy,Palestinian Territories,visa-free
Italy,Panama,visa-free
Italy,Papua New Guinea,visa on arrival
Italy,Paraguay,visa-free
Italy,Peru,visa-free
Italy,Philippines,visa-free
Italy,Poland,visa-free
Italy,Portugal,visa-free
Italy,Qatar,Visa waiver on arrival
Italy,Romania,visa-free
Italy,Russian Federation,visa required
Italy,Rwanda,visa required / eVisa
Italy,Saint Kitts and Nevis,visa-free
Italy,Saint Lucia,visa-free
Italy,Samoa,visa-free
Italy,San Marino,visa-free
Italy,Sao Tome and Principe,visa-free
Italy,Saudi Arabia,visa required
Italy,Senegal,visa-free
Italy,Serbia,visa-free
Italy,Seychelles,visitor’s permit
Italy,Sierra Leone,visa required
Italy,Singapore,visa-free
Italy,Slovakia,visa-free
Italy,Slovenia,visa-free
Italy,Solomon Islands,visa-free
Italy,Somalia,visa required
Italy,South Africa,visa-free
Italy,South Korea,visa-free
Italy,South Sudan,visa required
Italy,Spain,visa-free
Italy,Sri Lanka,eTA
Italy,St. Vincent and the Grenadines,visa-free
Italy,Sudan,visa required
Italy,Suriname,visa on arrival
Italy,Swaziland,visa-free
Italy,Sweden,visa-free
Italy,Switzerland,visa-free
Italy,Syria,visa required
Italy,Taiwan,visa-free
Italy,Tajikistan,visa required
Italy,Tanzania,visa on arrival
Italy,Thailand,visa-free
Italy,Timor-Leste,visa-free
Italy,Togo,visa on arrival
Italy,Tonga,visa-free
Italy,Trinidad and Tobago,visa-free
Italy,Tunisia,visa-free
Italy,Turkey,visa-free
Italy,Turkmenistan,visa required
Italy,Tuvalu,visa-free
Italy,Uganda,visa on arrival
Italy,Ukraine,visa-free
Italy,United Arab Emirates,visa-free
Italy,United Kingdom,visa-free
Italy,United States of America,eTA
Italy,Uruguay,visa-free
Italy,Uzbekistan,visa required
Italy,Vanuatu,visa-free
Italy,Vatican City,visa-free
Italy,Venezuela,visa-free
Italy,Viet Nam,visa-free
Italy,Yemen,visa required
Italy,Zambia,visa on arrival
Italy,Zimbabwe,visa on arrival
Japan,Afghanistan,visa required
Japan,Albania,visa-free
Japan,Algeria,visa required
Japan,Andorra,visa-free
Japan,Angola,visa required
Japan,Antigua and Barbuda,visa-free
Japan,Argentina,visa-free
Japan,Armenia,visa on arrival
Japan,Australia,eTA
Japan,Austria,visa-free
Japan,Azerbaijan,visa on arrival
Japan,Bahamas,visa-free
Japan,Bahrain,visa on arrival
Japan,Bangladesh,visa on arrival
Japan,Barbados,visa-free
Japan,Belarus,visa-free
Japan,Belgium,visa-free
Japan,Belize,visa-free
Japan,Benin,visa required
Japan,Bhutan,visa required
Japan,Bolivia,visa-free
Japan,Bosnia and Herzegovina,visa-free
Japan,Botswana,visa-free
Japan,Brazil,visa required
Japan,Brunei,visa-free
Japan,Bulgaria,visa-free
Japan,Burkina Faso,visa required
Japan,Burundi,visa required
Japan,Cambodia,visa on arrival / eVisa
Japan,Cameroon,visa required
Japan,Canada,eTA
Japan,Cape Verde,visa on arrival
Japan,Central African Republic,visa required
Japan,Chad,visa required
Japan,Chile,visa-free
Japan,China,visa-free
Japan,Colombia,visa-free
Japan,Comoros,visa on arrival
Japan,Congo,visa required
Japan,Congo (Dem. Rep.),visa required
Japan,Costa Rica,visa-free
Japan,Cote d'Ivoire (Ivory Coast),visa on arrival / eVisa
Japan,Croatia,visa-free
Japan,Cuba,visa required
Japan,Cyprus,visa-free
Japan,Czechia,visa-free
Japan,Denmark,visa-free
Japan,Djibouti,visa on arrival
Japan,Dominica,visa-free
Japan,Dominican Republic,visa-free
Japan,Ecuador,visa-free
Japan,Egypt,visa on arrival
Japan,El Salvador,visa-free
Japan,Equatorial Guinea,visa required
Japan,Eritrea,visa required
Japan,Estonia,visa-free
Japan,Ethiopia,visa on arrival
Japan,Fiji,visa-free
Japan,Finland,visa-free
Japan,France,visa-free
Japan,Gabon,visa required / eVisa
Japan,Gambia,visa required
Japan,Georgia,visa-free
Japan,Germany,visa-free
Japan,Ghana,visa required
Japan,Greece,visa-free
Japan,Grenada,visa-free
Japan,Guatemala,visa-free
Japan,Guinea,visa required
Japan,Guinea-Bissau,visa on arrival
Japan,Guyana,visa-free
Japan,Haiti,visa-free
Japan,Honduras,visa-free
Japan,Hong Kong,visa-free
Japan,Hungary,visa-free
Japan,Iceland,visa-free
Japan,India,visa on arrival
Japan,Indonesia,visa-free
Japan,Iran,visa on arrival
Japan,Iraq,visa required
Japan,Ireland,visa-free
Japan,Israel,visa-free
Japan,Italy,visa-free
Japan,Jamaica,visa-free
Japan,Japan,
Japan,Jordan,visa on arrival
Japan,Kazakhstan,visa-free
Japan,Kenya,visa on arrival / eVisa
Japan,Kiribati,visa-free
Japan,Kosovo,visa-free
Japan,Kuwait,visa on arrival / eVisa
Japan,Kyrgyzstan,visa-free
Japan,Laos,visa-free
Japan,Latvia,visa-free
Japan,Lebanon,visa on arrival
Japan,Lesotho,visa-free
Japan,Liberia,visa required
Japan,Libya,visa required
Japan,Liechtenstein,visa-free
Japan,Lithuania,visa-free
Japan,Luxembourg,visa-free
Japan,Macao,visa-free
Japan,Macedonia (FYROM),visa-free
Japan,Madagascar,visa on arrival
Japan,Malawi,visa on arrival
Japan,Malaysia,visa-free
Japan,Maldives,visa on arrival
Japan,Mali,visa required
Japan,Malta,visa-free
Japan,Marshall Islands,visa on arrival
Japan,Mauritania,visa on arrival
Japan,Mauritius,visa-free
Japan,Mexico,visa-free
Japan,Micronesia,visa-free
Japan,Moldova,visa-free
Japan,Monaco,visa-free
Japan,Mongolia,visa-free
Japan,Montenegro,visa-free
Japan,Morocco,visa-free
Japan,Mozambique,visa on arrival
Japan,Myanmar [Burma],visa required / eVisa
Japan,Namibia,visa-free
Japan,Nauru,visa required
Japan,Nepal,visa on arrival
Japan,Netherlands,visa-free
Japan,New Zealand,visa-free
Japan,Nicaragua,visa-free
Japan,Niger,visa required
Japan,Nigeria,visa required
Japan,North Korea,visa required
Japan,Norway,visa-free
Japan,Oman,visa on arrival
Japan,Pakistan,visa required
Japan,Palau,visa on arrival
Japan,Palestinian Territories,visa-free
Japan,Panama,visa-free
Japan,Papua New Guinea,visa on arrival
Japan,Paraguay,visa-free
Japan,Peru,visa-free
Japan,Philippines,visa-free
Japan,Poland,visa-free
Japan,Portugal,visa-free
Japan,Qatar,Visa waiver on arrival
Japan,Romania,visa-free
Japan,Russian Federation,visa required
Japan,Rwanda,visa required / eVisa
Japan,Saint Kitts and Nevis,visa-free
Japan,Saint Lucia,visa-free
Japan,Samoa,visa on arrival
Japan,San Marino,visa-free
Japan,Sao Tome and Principe,visa-free
Japan,Saudi Arabia,visa required
Japan,Senegal,visa-free
Japan,Serbia,visa-free
Japan,Seychelles,visitor’s permit
Japan,Sierra Leone,visa required
Japan,Singapore,visa-free
Japan,Slovakia,visa-free
Japan,Slovenia,visa-free
Japan,Solomon Islands,visa on arrival
Japan,Somalia,visa required
Japan,South Africa,visa-free
Japan,South Korea,visa-free
Japan,South Sudan,visa required
Japan,Spain,visa-free
Japan,Sri Lanka,eTA
Japan,St. Vincent and the Grenadines,visa-free
Japan,Sudan,visa required
Japan,Suriname,visa-free
Japan,Swaziland,visa-free
Japan,Sweden,visa-free
Japan,Switzerland,visa-free
Japan,Syria,visa required
Japan,Taiwan,visa-free
Japan,Tajikistan,visa required
Japan,Tanzania,visa on arrival
Japan,Thailand,visa-free
Japan,Timor-Leste,visa on arrival
Japan,Togo,visa on arrival
Japan,Tonga,visa on arrival
Japan,Trinidad and Tobago,visa-free
Japan,Tunisia,visa-free
Japan,Turkey,visa-free
Japan,Turkmenistan,visa required
Japan,Tuvalu,visa on arrival
Japan,Uganda,visa on arrival
Japan,Ukraine,visa-free
Japan,United Arab Emirates,visa-free
Japan,United Kingdom,visa-free
Japan,United States of America,eTA
Japan,Uruguay,visa-free
Japan,Uzbekistan,visa required
Japan,Vanuatu,visa-free
Japan,Vatican City,visa-free
Japan,Venezuela,visa-free
Japan,Viet Nam,visa-free
Japan,Yemen,visa required
Japan,Zambia,visa on arrival
Japan,Zimbabwe,visa on arrival
Norway,Afghanistan,visa required
Norway,Albania,visa-free
Norway,Algeria,visa required
Norway,Andorra,visa-free
Norway,Angola,visa required
Norway,Antigua and Barbuda,visa-free
Norway,Argentina,visa-free
Norway,Armenia,visa-free
Norway,Australia,eTA
Norway,Austria,visa-free
Norway,Azerbaijan,visa required / eVisa
Norway,Bahamas,visa-free
Norway,Bahrain,visa on arrival
Norway,Bangladesh,visa on arrival
Norway,Barbados,visa-free
Norway,Belarus,visa-free
Norway,Belgium,visa-free
Norway,Belize,visa-free
Norway,Benin,visa required
Norway,Bhutan,visa required
Norway,Bolivia,visa-free
Norway,Bosnia and Herzegovina,visa-free
Norway,Botswana,visa-free
Norway,Brazil,visa-free
Norway,Brunei,visa-free
Norway,Bulgaria,visa-free
Norway,Burkina Faso,visa on arrival
Norway,Burundi,visa required
Norway,Cambodia,visa on arrival / eVisa
Norway,Cameroon,visa required
Norway,Canada,eTA
Norway,Cape Verde,visa on arrival
Norway,Central African Republic,visa required
Norway,Chad,visa required
Norway,Chile,visa-free
Norway,China,visa required
Norway,Colombia,visa-free
Norway,Comoros,visa on arrival
Norway,Congo,visa required
Norway,Congo (Dem. Rep.),visa required
Norway,Costa Rica,visa-free
Norway,Cote d'Ivoire (Ivory Coast),visa on arrival / eVisa
Norway,Croatia,visa-free
Norway,Cuba,visa required
Norway,Cyprus,visa-free
Norway,Czechia,visa-free
Norway,Denmark,visa-free
Norway,Djibouti,visa on arrival
Norway,Dominica,visa-free
Norway,Dominican Republic,visa-free
Norway,Ecuador,visa-free
Norway,Egypt,visa on arrival
Norway,El Salvador,visa-free
Norway,Equatorial Guinea,visa required
Norway,Eritrea,visa required
Norway,Estonia,visa-free
Norway,Ethiopia,visa on arrival
Norway,Fiji,visa-free
Norway,Finland,visa-free
Norway,France,visa-free
Norway,Gabon,visa required / eVisa
Norway,Gambia,visa-free
Norway,Georgia,visa-free
Norway,Germany,visa-free
Norway,Ghana,visa required
Norway,Greece,visa-free
Norway,Grenada,visa-free
Norway,Guatemala,visa-free
Norway,Guinea,visa required
Norway,Guinea-Bissau,visa on arrival
Norway,Guyana,visa-free
Norway,Haiti,visa-free
Norway,Honduras,visa-free
Norway,Hong Kong,visa-free
Norway,Hungary,visa-free
Norway,Iceland,visa-free
Norway,India,e-Visa
Norway,Indonesia,visa-free
Norway,Iran,visa on arrival
Norway,Iraq,visa required
Norway,Ireland,visa-free
Norway,Israel,visa-free
Norway,Italy,visa-free
Norway,Jamaica,visa-free
Norway,Japan,visa-free
Norway,Jordan,visa on arrival
Norway,Kazakhstan,visa-free
Norway,Kenya,visa on arrival / eVisa
Norway,Kiribati,visa-free
Norway,Kosovo,visa-free
Norway,Kuwait,visa on arrival / eVisa
Norway,Kyrgyzstan,visa-free
Norway,Laos,visa on arrival
Norway,Latvia,visa-free
Norway,Lebanon,visa on arrival
Norway,Lesotho,visa-free
Norway,Liberia,visa required
Norway,Libya,visa required
Norway,Liechtenstein,visa-free
Norway,Lithuania,visa-free
Norway,Luxembourg,visa-free
Norway,Macao,visa-free
Norway,Macedonia (FYROM),visa-free
Norway,Madagascar,visa on arrival
Norway,Malawi,visa on arrival
Norway,Malaysia,visa-free
Norway,Maldives,visa on arrival
Norway,Mali,visa required
Norway,Malta,visa-free
Norway,Marshall Islands,visa-free
Norway,Mauritania,visa on arrival
Norway,Mauritius,visa-free
Norway,Mexico,visa-free
Norway,Micronesia,visa-free
Norway,Moldova,visa-free
Norway,Monaco,visa-free
Norway,Mongolia,visa required
Norway,Montenegro,visa-free
Norway,Morocco,visa-free
Norway,Mozambique,visa on arrival
Norway,Myanmar [Burma],visa required / eVisa
Norway,Namibia,visa-free
Norway,Nauru,visa required
Norway,Nepal,visa on arrival
Norway,Netherlands,visa-free
Norway,New Zealand,visa-free
Norway,Nicaragua,visa-free
Norway,Niger,visa required
Norway,Nigeria,visa required
Norway,North Korea,visa required
Norway,Norway,
Norway,Oman,visa on arrival
Norway,Pakistan,visa required
Norway,Palau,visa on arrival
Norway,Palestinian Territories,visa-free
Norway,Panama,visa-free
Norway,Papua New Guinea,visa on arrival
Norway,Paraguay,visa-free
Norway,Peru,visa-free
Norway,Philippines,visa-free
Norway,Poland,visa-free
Norway,Portugal,visa-free
Norway,Qatar,Visa waiver on arrival
Norway,Romania,visa-free
Norway,Russian Federation,visa required
Norway,Rwanda,visa required / eVisa
Norway,Saint Kitts and Nevis,visa-free
Norway,Saint Lucia,visa-free
Norway,Samoa,visa on arrival
Norway,San Marino,visa-free
Norway,Sao Tome and Principe,visa-free
Norway,Saudi Arabia,visa required
Norway,Senegal,visa-free
Norway,Serbia,visa-free
Norway,Seychelles,visitor’s permit
Norway,Sierra Leone,visa required
Norway,Singapore,visa-free
Norway,Slovakia,visa-free
Norway,Slovenia,visa-free
Norway,Solomon Islands,visa-free
Norway,Somalia,visa required
Norway,South Africa,visa-free
Norway,South Korea,visa-free
Norway,South Sudan,visa required
Norway,Spain,visa-free
Norway,Sri Lanka,eTA
Norway,St. Vincent and the Grenadines,visa-free
Norway,Sudan,visa required
Norway,Suriname,visa on arrival
Norway,Swaziland,visa-free
Norway,Sweden,visa-free
Norway,Switzerland,visa-free
Norway,Syria,visa required
Norway,Taiwan,visa-free
Norway,Tajikistan,visa required
Norway,Tanzania,visa on arrival
Norway,Thailand,visa-free
Norway,Timor-Leste,visa on arrival
Norway,Togo,visa on arrival
Norway,Tonga,visa-free
Norway,Trinidad and Tobago,visa-free
Norway,Tunisia,visa-free
Norway,Turkey,visa on arrival / eVisa
Norway,Turkmenistan,visa required
Norway,Tuvalu,visa-free
Norway,Uganda,visa on arrival
Norway,Ukraine,visa-free
Norway,United Arab Emirates,visa-free
Norway,United Kingdom,visa-free
Norway,United States of America,eTA
Norway,Uruguay,visa-free
Norway,Uzbekistan,visa required
Norway,Vanuatu,visa-free
Norway,Vatican City,visa-free
Norway,Venezuela,visa-free
Norway,Viet Nam,visa-free
Norway,Yemen,visa required
Norway,Zambia,visa on arrival
Norway,Zimbabwe,visa on arrival
Spain,Afghanistan,visa required
Spain,Albania,visa-free
Spain,Algeria,visa required
Spain,Andorra,visa-free
Spain,Angola,visa required
Spain,Antigua and Barbuda,visa-free
Spain,Argentina,visa-free
Spain,Armenia,visa-free
Spain,Australia,eTA
Spain,Austria,visa-free
Spain,Azerbaijan,visa required / eVisa
Spain,Bahamas,visa-free
Spain,Bahrain,visa on arrival
Spain,Bangladesh,visa on arrival
Spain,Barbados,visa-free
Spain,Belarus,visa-free
Spain,Belgium,visa-free
Spain,Belize,visa-free
Spain,Benin,visa required
Spain,Bhutan,visa required
Spain,Bolivia,visa-free
Spain,Bosnia and Herzegovina,visa-free
Spain,Botswana,visa-free
Spain,Brazil,visa-free
Spain,Brunei,visa-free
Spain,Bulgaria,visa-free
Spain,Burkina Faso,visa on arrival
Spain,Burundi,visa required
Spain,Cambodia,visa on arrival / eVisa
Spain,Cameroon,visa required
Spain,Canada,eTA
Spain,Cape Verde,visa on arrival
Spain,Central African Republic,visa required
Spain,Chad,visa required
Spain,Chile,visa-free
Spain,China,visa required
Spain,Colombia,visa-free
Spain,Comoros,visa on arrival
Spain,Congo,visa required
Spain,Congo (Dem. Rep.),visa required
Spain,Costa Rica,visa-free
Spain,Cote d'Ivoire (Ivory Coast),visa on arrival / eVisa
Spain,Croatia,visa-free
Spain,Cuba,visa required
Spain,Cyprus,visa-free
Spain,Czechia,visa-free
Spain,Denmark,visa-free
Spain,Djibouti,visa on arrival
Spain,Dominica,visa-free
Spain,Dominican Republic,visa-free
Spain,Ecuador,visa-free
Spain,Egypt,visa on arrival
Spain,El Salvador,visa-free
Spain,Equatorial Guinea,visa required
Spain,Eritrea,visa required
Spain,Estonia,visa-free
Spain,Ethiopia,visa on arrival
Spain,Fiji,visa-free
Spain,Finland,visa-free
Spain,France,visa-free
Spain,Gabon,visa required / eVisa
Spain,Gambia,visa on arrival
Spain,Georgia,visa-free
Spain,Germany,visa-free
Spain,Ghana,visa required
Spain,Greece,visa-free
Spain,Grenada,visa-free
Spain,Guatemala,visa-free
Spain,Guinea,visa required
Spain,Guinea-Bissau,visa on arrival
Spain,Guyana,visa-free
Spain,Haiti,visa-free
Spain,Honduras,visa-free
Spain,Hong Kong,visa-free
Spain,Hungary,visa-free
Spain,Iceland,visa-free
Spain,India,e-Visa
Spain,Indonesia,visa-free
Spain,Iran,visa on arrival
Spain,Iraq,visa required
Spain,Ireland,visa-free
Spain,Israel,visa-free
Spain,Italy,visa-free
Spain,Jamaica,visa-free
Spain,Japan,visa-free
Spain,Jordan,visa on arrival
Spain,Kazakhstan,visa-free
Spain,Kenya,visa on arrival / eVisa
Spain,Kiribati,visa-free
Spain,Kosovo,visa-free
Spain,Kuwait,visa on arrival / eVisa
Spain,Kyrgyzstan,visa-free
Spain,Laos,visa on arrival
Spain,Latvia,visa-free
Spain,Lebanon,visa on arrival
Spain,Lesotho,visa-free
Spain,Liberia,visa required
Spain,Libya,visa required
Spain,Liechtenstein,visa-free
Spain,Lithuania,visa-free
Spain,Luxembourg,visa-free
Spain,Macao,visa-free
Spain,Macedonia (FYROM),visa-free
Spain,Madagascar,visa on arrival
Spain,Malawi,visa on arrival
Spain,Malaysia,visa-free
Spain,Maldives,visa on arrival
Spain,Mali,visa required
Spain,Malta,visa-free
Spain,Marshall Islands,visa-free
Spain,Mauritania,visa on arrival
Spain,Mauritius,visa-free
Spain,Mexico,visa-free
Spain,Micronesia,visa-free
Spain,Moldova,visa-free
Spain,Monaco,visa-free
Spain,Mongolia,visa required
Spain,Montenegro,visa-free
Spain,Morocco,visa-free
Spain,Mozambique,visa on arrival
Spain,Myanmar [Burma],visa required / eVisa
Spain,Namibia,visa-free
Spain,Nauru,visa required
Spain,Nepal,visa on arrival
Spain,Netherlands,visa-free
Spain,New Zealand,visa-free
Spain,Nicaragua,visa-free
Spain,Niger,visa required
Spain,Nigeria,visa required
Spain,North Korea,visa required
Spain,Norway,visa-free
Spain,Oman,visa on arrival
Spain,Pakistan,visa required
Spain,Palau,visa-free
Spain,Palestinian Territories,visa-free
Spain,Panama,visa-free
Spain,Papua New Guinea,visa on arrival
Spain,Paraguay,visa-free
Spain,Peru,visa-free
Spain,Philippines,visa-free
Spain,Poland,visa-free
Spain,Portugal,visa-free
Spain,Qatar,Visa waiver on arrival
Spain,Romania,visa-free
Spain,Russian Federation,visa required
Spain,Rwanda,visa required / eVisa
Spain,Saint Kitts and Nevis,visa-free
Spain,Saint Lucia,visa-free
Spain,Samoa,visa-free
Spain,San Marino,visa-free
Spain,Sao Tome and Principe,visa-free
Spain,Saudi Arabia,visa required
Spain,Senegal,visa-free
Spain,Serbia,visa-free
Spain,Seychelles,visitor’s permit
Spain,Sierra Leone,visa required
Spain,Singapore,visa-free
Spain,Slovakia,visa-free
Spain,Slovenia,visa-free
Spain,Solomon Islands,visa-free
Spain,Somalia,visa required
Spain,South Africa,visa-free
Spain,South Korea,visa-free
Spain,South Sudan,visa required
Spain,Spain,
Spain,Sri Lanka,eTA
Spain,St. Vincent and the Grenadines,visa-free
Spain,Sudan,visa required
Spain,Suriname,visa on arrival
Spain,Swaziland,visa-free
Spain,Sweden,visa-free
Spain,Switzerland,visa-free
Spain,Syria,visa required
Spain,Taiwan,visa-free
Spain,Tajikistan,visa required
Spain,Tanzania,visa on arrival
Spain,Thailand,visa-free
Spain,Timor-Leste,visa-free
Spain,Togo,visa on arrival
Spain,Tonga,visa-free
Spain,Trinidad and Tobago,visa-free
Spain,Tunisia,visa-free
Spain,Turkey,visa on arrival / eVisa
Spain,Turkmenistan,visa required
Spain,Tuvalu,visa-free
Spain,Uganda,visa on arrival
Spain,Ukraine,visa-free
Spain,United Arab Emirates,visa-free
Spain,United Kingdom,visa-free
Spain,United States of America,eTA
Spain,Uruguay,visa-free
Spain,Uzbekistan,visa required
Spain,Vanuatu,visa-free
Spain,Vatican City,visa-free
Spain,Venezuela,visa-free
Spain,Viet Nam,visa-free
Spain,Yemen,visa required
Spain,Zambia,visa on arrival
Spain,Zimbabwe,visa on arrival
United Kingdom,Afghanistan,visa required
United Kingdom,Albania,visa-free
United Kingdom,Algeria,visa required
United Kingdom,Andorra,visa-free
United Kingdom,Angola,visa required
United Kingdom,Antigua and Barbuda,visa-free
United Kingdom,Argentina,visa-free
United Kingdom,Armenia,visa-free
United Kingdom,Australia,eTA
United Kingdom,Austria,visa-free
United Kingdom,Azerbaijan,visa required / eVisa
United Kingdom,Bahamas,visa-free
United Kingdom,Bahrain,visa on arrival
United Kingdom,Bangladesh,visa on arrival
United Kingdom,Barbados,visa-free
United Kingdom,Belarus,visa-free
United Kingdom,Belgium,visa-free
United Kingdom,Belize,visa-free
United Kingdom,Benin,visa required
United Kingdom,Bhutan,visa required
United Kingdom,Bolivia,visa-free
United Kingdom,Bosnia and Herzegovina,visa-free
United Kingdom,Botswana,visa-free
United Kingdom,Brazil,visa-free
United Kingdom,Brunei,visa-free
United Kingdom,Bulgaria,visa-free
United Kingdom,Burkina Faso,visa on arrival
United Kingdom,Burundi,visa required
United Kingdom,Cambodia,visa on arrival / eVisa
United Kingdom,Cameroon,visa required
United Kingdom,Canada,eTA
United Kingdom,Cape Verde,visa on arrival
United Kingdom,Central African Republic,visa required
United Kingdom,Chad,visa required
United Kingdom,Chile,visa-free
United Kingdom,China,visa required
United Kingdom,Colombia,visa-free
United Kingdom,Comoros,visa on arrival
United Kingdom,Congo,visa required
United Kingdom,Congo (Dem. Rep.),visa required
United Kingdom,Costa Rica,visa-free
United Kingdom,Cote d'Ivoire (Ivory Coast),visa on arrival / eVisa
United Kingdom,Croatia,visa-free
United Kingdom,Cuba,visa required
United Kingdom,Cyprus,visa-free
United Kingdom,Czechia,visa-free
United Kingdom,Denmark,visa-free
United Kingdom,Djibouti,visa on arrival
United Kingdom,Dominica,visa-free
United Kingdom,Dominican Republic,visa-free
United Kingdom,Ecuador,visa-free
United Kingdom,Egypt,visa on arrival
United Kingdom,El Salvador,visa-free
United Kingdom,Equatorial Guinea,visa required
United Kingdom,Eritrea,visa required
United Kingdom,Estonia,visa-free
United Kingdom,Ethiopia,visa on arrival
United Kingdom,Fiji,visa-free
United Kingdom,Finland,visa-free
United Kingdom,France,visa-free
United Kingdom,Gabon,visa required / eVisa
United Kingdom,Gambia,visa-free
United Kingdom,Georgia,visa-free
United Kingdom,Germany,visa-free
United Kingdom,Ghana,visa required
United Kingdom,Greece,visa-free
United Kingdom,Grenada,visa-free
United Kingdom,Guatemala,visa-free
United Kingdom,Guinea,visa required
United Kingdom,Guinea-Bissau,visa on arrival
United Kingdom,Guyana,visa-free
United Kingdom,Haiti,visa-free
United Kingdom,Honduras,visa-free
United Kingdom,Hong Kong,visa-free
United Kingdom,Hungary,visa-free
United Kingdom,Iceland,visa-free
United Kingdom,India,e-Visa
United Kingdom,Indonesia,visa-free
United Kingdom,Iran,visa required
United Kingdom,Iraq,visa required
United Kingdom,Ireland,visa-free
United Kingdom,Israel,visa-free
United Kingdom,Italy,visa-free
United Kingdom,Jamaica,visa-free
United Kingdom,Japan,visa-free
United Kingdom,Jordan,visa on arrival
United Kingdom,Kazakhstan,visa-free
United Kingdom,Kenya,visa on arrival / eVisa
United Kingdom,Kiribati,visa-free
United Kingdom,Kosovo,visa-free
United Kingdom,Kuwait,visa on arrival / eVisa
United Kingdom,Kyrgyzstan,visa-free
United Kingdom,Laos,visa on arrival
United Kingdom,Latvia,visa-free
United Kingdom,Lebanon,visa on arrival
United Kingdom,Lesotho,visa-free
United Kingdom,Liberia,visa required
United Kingdom,Libya,visa required
United Kingdom,Liechtenstein,visa-free
United Kingdom,Lithuania,visa-free
United Kingdom,Luxembourg,visa-free
United Kingdom,Macao,visa-free
United Kingdom,Macedonia (FYROM),visa-free
United Kingdom,Madagascar,visa on arrival
United Kingdom,Malawi,visa on arrival
United Kingdom,Malaysia,visa-free
United Kingdom,Maldives,visa on arrival
United Kingdom,Mali,visa required
United Kingdom,Malta,visa-free
United Kingdom,Marshall Islands,visa on arrival
United Kingdom,Mauritania,visa on arrival
United Kingdom,Mauritius,visa-free
United Kingdom,Mexico,visa-free
United Kingdom,Micronesia,visa-free
United Kingdom,Moldova,visa-free
United Kingdom,Monaco,visa-free
United Kingdom,Mongolia,visa required
United Kingdom,Montenegro,visa-free
United Kingdom,Morocco,visa-free
United Kingdom,Mozambique,visa on arrival
United Kingdom,Myanmar [Burma],visa required / eVisa
United Kingdom,Namibia,visa-free
United Kingdom,Nauru,visa required
United Kingdom,Nepal,visa on arrival
United Kingdom,Netherlands,visa-free
United Kingdom,New Zealand,visa-free
United Kingdom,Nicaragua,visa-free
United Kingdom,Niger,visa required
United Kingdom,Nigeria,visa required
United Kingdom,North Korea,visa required
United Kingdom,Norway,visa-free
United Kingdom,Oman,visa on arrival
United Kingdom,Pakistan,visa required
United Kingdom,Palau,visa on arrival
United Kingdom,Palestinian Territories,visa-free
United Kingdom,Panama,visa-free
United Kingdom,Papua New Guinea,visa on arrival
United Kingdom,Paraguay,visa-free
United Kingdom,Peru,visa-free
United Kingdom,Philippines,visa-free
United Kingdom,Poland,visa-free
United Kingdom,Portugal,visa-free
United Kingdom,Qatar,Visa waiver on arrival
United Kingdom,Romania,visa-free
United Kingdom,Russian Federation,visa required
United Kingdom,Rwanda,visa on arrival
United Kingdom,Saint Kitts and Nevis,visa-free
United Kingdom,Saint Lucia,visa-free
United Kingdom,Samoa,visa on arrival
United Kingdom,San Marino,visa-free
United Kingdom,Sao Tome and Principe,visa-free
United Kingdom,Saudi Arabia,visa required
United Kingdom,Senegal,visa-free
United Kingdom,Serbia,visa-free
United Kingdom,Seychelles,visitor’s permit
United Kingdom,Sierra Leone,visa required
United Kingdom,Singapore,visa-free
United Kingdom,Slovakia,visa-free
United Kingdom,Slovenia,visa-free
United Kingdom,Solomon Islands,visa on arrival
United Kingdom,Somalia,visa required
United Kingdom,South Africa,visa-free
United Kingdom,South Korea,visa-free
United Kingdom,South Sudan,visa required
United Kingdom,Spain,visa-free
United Kingdom,Sri Lanka,eTA
United Kingdom,St. Vincent and the Grenadines,visa-free
United Kingdom,Sudan,visa required
United Kingdom,Suriname,visa on arrival
United Kingdom,Swaziland,visa-free
United Kingdom,Sweden,visa-free
United Kingdom,Switzerland,visa-free
United Kingdom,Syria,visa required
United Kingdom,Taiwan,visa-free
United Kingdom,Tajikistan,visa required
United Kingdom,Tanzania,visa on arrival
United Kingdom,Thailand,visa-free
United Kingdom,Timor-Leste,visa on arrival
United Kingdom,Togo,visa on arrival
United Kingdom,Tonga,visa on arrival
United Kingdom,Trinidad and Tobago,visa-free
United Kingdom,Tunisia,visa-free
United Kingdom,Turkey,visa on arrival / eVisa
United Kingdom,Turkmenistan,visa required
United Kingdom,Tuvalu,visa on arrival
United Kingdom,Uganda,visa on arrival
United Kingdom,Ukraine,visa-free
United Kingdom,United Arab Emirates,visa on arrival
United Kingdom,United Kingdom,
